budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
196962557,212399351,244371249,254232367,297300000
NA,5941311,6637768,7062017,5470000
43050154,NA,40131912,45077331,94393000
13932000,14525010,NA,NA,18878000
NA,NA,5912317,6063274,6311000
15415789,16895648,18349168,18558452,17456000
11645952,12574787,1.3e+07,1.3e+07,17027000
NA,NA,2900000,3100000,2687000
2078820,NA,3740000,3800000,NA
14713843,13317782,14850217,15197100,18504000
NA,NA,7e+06,7200000,7701000
18843000,21534662,21938643,22535005,21584000
11985445,NA,17993270,17043714,17703000
36793817,4e+07,46627694,44948288,55646000
NA,NA,4757562,4866703,NA
17976412,20056127,NA,NA,22520000
1.3e+07,12999897,13221534,13346250,13611000
NA,NA,1626682,1881732,NA
11425592,1.2e+07,15033881,14544593,15194000
9300000,12180809,13487289,13480218,15240000
NA,NA,NA,NA,NA
1.5e+07,NA,18012018,18105437,42557000
37440952,NA,NA,NA,40418000
NA,NA,5057235,5239706,5650000
NA,5239285,6097641,6522608,NA
18951761,22176591,25565588,26587733,24350000
NA,NA,4894257,5198272,NA
NA,NA,991891,1126564,NA
NA,NA,4500000,5e+06,5745000
NA,NA,7700000,7773812,6022000
53389471,66340866,5.2e+07,52965565,41246000
9900000,10085136,10957380,11260564,13331000
NA,NA,1200000,1150000,NA
2.8e+07,26332000,33449706,34558442,38568000
NA,NA,5199684,5363946,5807000
1.5e+07,15313689,16664943,16737520,19217000
NA,NA,NA,NA,1.6e+07
NA,NA,2100000,2344900,2289000
NA,NA,8887726,9016006,10695000
NA,NA,5289625,5337679,8508000
442071368,546569785,559526918,545686633,516800000
NA,NA,17732932,18107063,18937000
1600000,NA,NA,NA,NA
NA,NA,14667590,15783843,15562000
51564000,55454500,59835037,60608337,60300000
NA,NA,4e+05,4e+05,NA
NA,NA,NA,NA,NA
NA,NA,1452200,1426520,1445000
NA,NA,1773000,1932000,2180000
NA,1440469,NA,NA,833000
57949500,34516000,35107907,36330789,43048000
NA,NA,12148812,12309400,10997000
2900000,NA,3561960,4062423,NA
22957736,24038650,24580468,24697918,18706000
5116500,NA,6502800,6417392,NA
2e+07,19462846,22437189,22971528,20805000
91459637,104934674,128073352,130978406,118976000
6.3e+07,75808342,103983015,99376829,93400000
35360806,36687487,42308013,43335585,39458000
51270714,57246297,71988281,74852421,63406000
NA,NA,2356680,2356680,22575000
3.6e+07,NA,5.2e+07,5.3e+07,48431000
15125757,18094717,25126705,24099210,24337000
12882827,1.7e+07,21755868,22228701,NA
36777300,44006680,54004383,54312400,47995000
41608572,4.3e+07,49318390,49648020,48158000
43833358,46622075,53705972,54939564,NA
2300000,NA,3900000,4200000,3125000
526265000,585310000,591686455,620458000,798301000
36996406,40049438,46830049,46844863,47569000
NA,NA,NA,NA,NA
3.9e+07,50992336,56724640,53569190,6e+07
21315131,24847168,27385683,29146731,24630000
156963000,NA,265621000,266173000,288100000
91992541,99605000,115174000,115167000,123541000
18246180,21901817,25522938,26111550,25378000
NA,20551843,23790455,26013174,NA
24169330,23300000,27990029,28035987,29374000
NA,1500000,2955518,2994563,NA
NA,7637336,NA,NA,7599000
NA,37133196,37038121,39822785,NA
366768040,NA,481594597,484601110,382100000
NA,NA,3332266,3596021,NA
18240000,NA,22609000,23667022,23395000
NA,616665,603000,603000,NA
NA,NA,2300000,2400000,NA
NA,NA,945,957674,NA
NA,NA,NA,NA,NA
1.42e+08,148216804,162695004,184247618,164195000
NA,NA,445453,403680,NA
4695445,4904582,5384323,5803664,NA
NA,NA,NA,NA,9166000
31237460,34758800,51698000,50309000,56721000
33737129,33455335,55249170,61537200,43487000
49622958,55951737,60942296,60937522,64452000
12500000,13940447,18497044,19666693,NA
21571640,25283191,7753846,7482221,33511000
NA,527000,NA,1242691,NA
NA,NA,16180553,15956682,13431000
NA,NA,12500000,13202266,NA
129602286,133018621,164406492,168450101,195300000
17972228,20770321,25330118,27547792,25459000
39161400,42641700,56283900,58097300,6067000
24648013,29461297,33507073,35576902,33760000
21721270,31391540,38257150,39049040,39520000
13884829,16439000,20598013,23363181,22575000
51364849,60192300,65062499,63389109,61240000
18292555,NA,24458660,24643761,23688000
NA,NA,7796507,6674320,NA
NA,NA,6456631,6376671,NA
20937686,22915999,6556893,7141649,30614000
NA,NA,NA,NA,NA
NA,NA,3833930,4038281,4392049
35700770,39781791,45096056,47259323,46081000
20301000,20056900,2.7e+07,2.7e+07,23952000
NA,NA,17404241,18008153,16734000
91713404,1.05e+08,1.15e+08,1.18e+08,124900000
36301786,40100000,43520229,45152748,63948000
12193521,13364012,14396550,15135717,15853000
35946511,40548291,49262328,51401259,46986000
NA,29610202,34831328,36473402,145924000
13354236,14734020,17777900,19565848,19168000
12442508,13257244,16924942,17442042,18098000
NA,NA,5603221,5834526,6813000
NA,30500000,38947920,40473012,37557000
NA,NA,8900000,9100000,NA
425000,NA,550000,570000,NA
NA,NA,275000,275000,NA
770350,NA,947900,947900,NA
NA,NA,6129280,6090390,5949000
NA,NA,130000,160000,NA
NA,NA,426951,599191,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,3536000
NA,NA,NA,NA,2051900
312682,NA,NA,NA,NA
5986182,NA,8526622,8092450,8673000
NA,NA,NA,NA,66819
NA,NA,235000,240000,NA
NA,NA,9644212,10966448,7652000
1.3e+07,1.5e+07,17061168,17849143,16189000
3433685,NA,3700000,4018298,3700000
NA,NA,NA,NA,NA
16771801,18390580,NA,NA,19241000
NA,NA,1600000,1700000,1589000
NA,NA,170000,310000,NA
14281290,13430052,12500000,12518430,10924000
1e+07,NA,17927900,17979251,14634000
18170498,19556518,2e+07,2e+07,20017568
19284350,20815114,19400000,22229000,21887000
NA,NA,NA,NA,837900
NA,NA,NA,NA,NA
NA,236304,270000,280000,NA
NA,NA,NA,NA,1414839
NA,NA,NA,NA,217592
750000,NA,NA,NA,670000
8582442,NA,8130395,8349986,10063602
NA,NA,NA,NA,NA
8998233,13254589,16297105,16048784,16516000
NA,NA,NA,NA,2389324
NA,NA,260000,280000,NA
NA,NA,320000,420000,NA
12540940,13887187,1.5e+07,1.6e+07,17291000
NA,NA,9e+05,950000,NA
NA,NA,50000,50000,NA
NA,NA,220000,230000,NA
NA,NA,NA,NA,NA
NA,497367,425500,419418,NA
NA,NA,1535150,1604451,NA
NA,3.8e+07,26475666,27197848,53533000
NA,NA,NA,NA,2325000
NA,NA,NA,NA,2319000
NA,160000,151186,151186,NA
8923000,9e+06,8560900,9470983,7800000
NA,NA,290000,290000,496414
NA,NA,NA,NA,NA
NA,NA,NA,NA,932404
NA,NA,4e+05,530000,NA
NA,NA,NA,NA,NA
NA,NA,1500000,1700000,NA
NA,NA,NA,NA,NA
NA,NA,5e+05,550000,NA
NA,NA,NA,NA,NA
NA,NA,174000,174000,NA
168651480,211327525,207814301,215013960,2.77e+08
53948484,65098693,66055816,67572033,69749000
223759296,259551497,302201305,312091911,300200000
24810858,31330571,37728860,40617125,41344000
44561556,50591000,4.2e+07,4.6e+07,61615000
NA,NA,NA,NA,NA
14040747,13600000,13385814,13743080,NA
NA,NA,1674020,1725175,2716000
NA,NA,1e+06,1033956,1303000
NA,NA,NA,NA,660000
NA,NA,NA,NA,762000
NA,NA,298385,291900,378000
1021752,NA,834058,1113347,NA
NA,NA,1220760,1286710,1249000
NA,14652460,1.6e+07,1.6e+07,14743000
NA,NA,335000,350000,NA
NA,NA,533850,579850,NA
NA,NA,NA,NA,13635000
NA,NA,NA,NA,NA
NA,NA,2263614,2410478,4017000
3.2e+07,3.2e+07,45347855,47334505,48133000
NA,NA,NA,NA,168000
NA,NA,NA,NA,665000
NA,NA,125412,155525,NA
NA,NA,NA,NA,453000
NA,NA,640000,715974,688000
NA,1500000,1864139,1983211,2218000
NA,NA,8496360,9133727,11547000
NA,NA,3471014,3664376,4373000
55095869,63787371,57075436,62602228,70159000
15823934,16203212,17867084,18393313,19099000
24800000,25252616,18176346,19258410,29299000
NA,NA,411684,355992,NA
NA,NA,950000,1e+06,1241000
NA,NA,275000,285000,336000
NA,NA,877703,971780,878000
NA,1115940,1154752,1180285,1326000
NA,340417,NA,NA,NA
NA,NA,5800000,6100000,5691000
NA,NA,NA,NA,NA
NA,NA,1294179,1310163,NA
NA,NA,4200000,4e+06,4986000
18724697,19803690,22649749,23061045,21095000
280111,NA,363570,384930,553000
46669785,51266491,66867208,70006493,77200000
NA,NA,23428263,23551489,21669000
NA,NA,1400500,1250000,4529000
NA,NA,1562000,1648000,1835000
16426811,NA,NA,NA,23062000
NA,814000,9e+05,1025000,852000
NA,1620000,1100000,1300000,1866000
NA,NA,425464,458992,NA
NA,NA,10310991,10608712,10732000
NA,NA,NA,NA,NA
NA,NA,2157010,2169731,2197000
NA,NA,48500,48500,44456
NA,NA,229150,229150,185499
NA,NA,NA,NA,0
NA,125000,125000,127000,95295
NA,NA,1176326,1140001,1379788
NA,23907779,NA,NA,29100000
NA,NA,NA,NA,6826
