budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
NA,4882323,5421012,5525725,5688311
NA,NA,173803,173803,NA
64053864,69413260,80933540,70996855,73300000
NA,NA,3400000,4095800,NA
950000,NA,1100000,1200000,NA
NA,1032727,1240413,1377352,1600273
NA,NA,574836,574153,NA
3.6e+07,40474320,43953657,44744404,48813000
NA,259573,NA,NA,483322
NA,NA,672378,692550,NA
NA,NA,782715,863781,1015181
NA,NA,NA,NA,NA
NA,NA,NA,NA,1025587
NA,NA,2096485,2105675,NA
NA,NA,NA,NA,NA
22993516,26447389,28605011,28837805,29730000
NA,NA,1168064,1281791,1526078
NA,NA,5e+05,5e+05,NA
82668931,96107109,112956223,117847632,118800000
NA,NA,NA,NA,1974556
NA,NA,NA,NA,1636737
NA,NA,NA,NA,NA
248684618,313232204,NA,NA,282500000
NA,NA,911189,943509,943509
16321653,18016411,21964888,22129995,21120000
NA,850000,1e+06,1100000,NA
22986870,27235490,30362070,31465700,30643000
15212660,17500000,22285766,22477654,21728000
301024790,390980034,434475745,292947716,443100000
NA,NA,5648000,3768000,6843800
NA,461943,581726,623158,NA
12223622,NA,14184367,14173319,NA
NA,NA,NA,NA,8220000
NA,NA,1850448,1999862,NA
55485089,64016173,NA,NA,77800000
NA,NA,3436570,3623577,5880000
20887776,22544026,27084229,26822636,27070000
NA,NA,1200000,1200000,1741920
25697686,28389499,32004180,33297313,28720000
NA,NA,3912922,4005311,NA
NA,NA,16773471,17471942,16648000
NA,NA,5e+05,5e+05,NA
NA,NA,NA,NA,277900
NA,NA,1e+05,105000,NA
NA,NA,479000,515659,523820
NA,NA,2225500,2028750,1994513
473377,NA,676615,695656,863205
417761422,459406791,486752691,509140287,565900000
620488531,806991579,945431647,965146748,984400000
372622521,425037118,483591991,496714285,501300000
NA,NA,1137660,1211290,1051000
NA,NA,2541584,2692410,2318000
NA,NA,NA,NA,1762000
NA,NA,5214072,5864221,4558000
55383094,61398082,82235729,79097332,80751000
13045083,13622358,1.5e+07,16100000,30014000
14500000,17667236,NA,NA,16595000
20785418,24640000,NA,NA,28707000
NA,NA,737852,783738,513000
NA,NA,1724725,1774353,1647000
NA,NA,NA,NA,NA
3660154,NA,5419556,5851213,3855000
NA,NA,131337,102954,NA
NA,NA,3781247,4036890,4083000
14804638,16743814,18200000,18500000,17235000
NA,NA,3475831,3524308,NA
NA,15500000,NA,NA,15134000
1.8e+07,NA,20075075,19559375,17321000
NA,NA,NA,NA,3393000
NA,NA,2278188,2335767,2206000
NA,607222,646738,667125,NA
NA,NA,2e+05,210000,NA
NA,NA,445800,451612,NA
NA,NA,2948888,2928407,NA
NA,NA,557760,621626,654357
NA,NA,363983,4e+05,538000
NA,NA,NA,NA,1636000
NA,NA,304650,304650,NA
90000,NA,182810,189651,183000
NA,NA,868000,805000,NA
1261997,1279725,1263918,1388647,2173000
NA,NA,219427,249989,NA
NA,NA,1922740,1805292,1783000
NA,NA,608826,608826,NA
NA,516020,275000,275000,278000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,1003100,1260825,1282535,1186000
53400000,60854883,67793778,68864175,92909000
NA,14600000,17357796,17357797,17028000
NA,51416242,51985768,52326523,54500000
NA,NA,2292102,2371497,2333000
8600000,15027910,9934080,10617870,15779000
21983379,22412393,24966880,25509198,28341000
NA,NA,12846615,12921328,12514000
5770579,NA,7691792,7915967,8490000
15041691,15961431,17112968,17973292,22789000
40445435,46556130,50649407,52777417,70461000
65619393,66925481,75717773,77618592,79700000
36791598,31680427,33888321,32814704,28434000
3507371,NA,4638556,4678923,4446000
88707820,84859553,NA,NA,95800000
21646325,25962696,22470382,22766026,21468000
NA,4794939,5284566,5283625,6022000
21578952,21824801,28050816,28528707,26940000
92000136,99041994,102960533,106129479,107700000
343729,NA,468769,452370,NA
NA,NA,NA,NA,NA
NA,NA,1250000,1300000,1288000
NA,NA,NA,NA,NA
NA,NA,1169307,1771130,1748000
NA,NA,425186,435204,NA
NA,NA,2028000,2300000,3419000
NA,NA,2775000,2860255,2643000
NA,NA,496677,549827,467000
NA,225000,300330,326519,NA
NA,NA,155996,166400,NA
16400000,NA,2.2e+07,2.2e+07,21591000
NA,NA,NA,NA,6220000
NA,800500,789000,789000,NA
NA,NA,NA,NA,5708000
32065340,43946277,56257242,56459827,56529000
NA,3175885,4188115,4273644,2989000
11700000,NA,18972172,19436404,16772000
2833000,2686999,3700000,3800000,NA
NA,NA,650000,1010000,NA
NA,NA,436110,464360,NA
NA,NA,6799803,6857914,NA
NA,NA,1262567,1299009,NA
NA,640000,683000,590000,NA
1565611,NA,2149254,2149254,NA
NA,NA,NA,NA,NA
NA,NA,387317,395945,NA
NA,NA,NA,NA,28600000
37676000,41524680,49030947,51511284,48210000
31729475,34941870,4.8e+07,5.3e+07,37728000
24139113,25169837,28776477,30942240,27320000
NA,NA,41868922,42849585,31673000
NA,NA,1674018,1757433,NA
26065884,22823527,33362775,32233825,24483000
NA,NA,492700,492761,NA
NA,NA,133000,143000,NA
NA,NA,812678,868831,NA
NA,NA,NA,NA,NA
NA,NA,6e+05,610000,NA
NA,NA,18628364,19502959,18167000
71379260,74598599,NA,NA,95323000
NA,6200000,7661612,7637730,6575000
NA,NA,280000,295000,NA
NA,NA,2606721,2343071,NA
NA,NA,6875041,7056959,NA
NA,NA,1608169,1704592,NA
NA,NA,710700,730000,NA
18820450,2.3e+07,24075000,25037000,23476000
NA,NA,6254373,6321498,NA
NA,NA,7454057,8048814,7407000
30442687,33372239,NA,NA,37727000
NA,NA,21900000,21900000,16272000
13922568,18581092,19992904,20865552,15722000
NA,NA,5595762,5753829,NA
5941792,NA,7877945,7731037,NA
NA,NA,5400000,5400000,NA
52199816,54932187,61831752,66657391,68919000
NA,NA,NA,NA,1984000
22370464,24187743,29145597,30727085,24692000
NA,2544874,3500000,3500000,NA
NA,NA,NA,NA,927000
NA,NA,2500000,2500000,NA
NA,27202038,30231349,30546304,26292000
NA,NA,3305621,3337741,NA
263085780,322432745,398561697,399271638,355900000
NA,NA,515638,565320,NA
263637,NA,NA,NA,NA
23980780,24705273,26393441,27408761,NA
NA,NA,1288254,1374636,NA
NA,NA,440000,490000,NA
NA,NA,309833,291881,NA
NA,569000,690719,824124,NA
NA,NA,1279201,1304916,NA
NA,67512205,81558996,88191541,8.8e+07
NA,NA,1687457,1853894,NA
NA,NA,646000,680350,NA
NA,NA,918000,948000,NA
NA,NA,2500000,2700000,NA
NA,190000,28062800,302155,NA
NA,NA,195397,199433,NA
NA,NA,2726826,2711540,NA
NA,NA,18792675,19040300,NA
NA,NA,1928970,2101430,NA
NA,NA,379491,358559,NA
295000,NA,NA,NA,NA
NA,440000,450000,462000,NA
2405900,2416725,2673074,2703060,NA
NA,NA,1212000,1227600,NA
NA,NA,279000,285100,NA
NA,NA,NA,NA,NA
NA,380000,446375,459559,NA
26920812,NA,30490881,30610391,NA
250000,NA,3e+05,310000,NA
5e+05,NA,562480,524748,NA
NA,1490788,NA,NA,NA
8224349,NA,9855414,10322664,NA
NA,NA,NA,NA,NA
NA,NA,1600000,1600000,NA
NA,NA,4600000,4800000,NA
18096286,NA,NA,NA,NA
NA,NA,2288033,2374043,NA
NA,NA,3215810,3348615,NA
NA,NA,694022,709644,NA
NA,16642266,17948165,17802381,NA
NA,172044,175000,175000,NA
NA,702838,711273,722234,NA
NA,NA,850000,875000,NA
NA,27954827,29620253,30030002,NA
NA,NA,4500000,4800000,NA
NA,NA,1300000,1300000,NA
12983474,13078360,14429994,14502883,NA
NA,NA,3589407,3950581,NA
NA,NA,NA,NA,NA
NA,3200000,3845380,3991000,NA
NA,NA,1045489,1075473,NA
NA,NA,767708,830000,NA
NA,NA,918271,999187,NA
NA,NA,NA,NA,NA
707719,NA,995000,995000,NA
NA,NA,950000,950000,NA
NA,NA,759108,869730,NA
NA,NA,2800000,2800000,NA
NA,9193509,9758130,10240217,NA
NA,NA,1.8e+07,1.9e+07,NA
NA,NA,5990880,6195699,NA
NA,NA,2291494,2381256,NA
NA,NA,NA,NA,NA
NA,NA,371428,382182,NA
NA,NA,412312,438604,NA
NA,NA,2220891,2326306,NA
1.2e+07,12873800,13825700,14303750,NA
237538363,277233534,298922696,297366419,280400000
NA,NA,NA,NA,NA
NA,NA,82000,70000,NA
NA,NA,9e+05,9e+05,NA
NA,NA,NA,NA,NA
NA,814580,NA,NA,NA
NA,NA,459000,459000,NA
NA,NA,425694,538674,NA
14658352,10193012,22095156,21362961,NA
NA,NA,NA,NA,NA
NA,NA,30000,30000,NA
NA,75000,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,80000,80000,NA
NA,NA,50000,50000,NA
NA,6866409,8993807,9374945,NA
NA,NA,1600000,1600000,NA
NA,NA,442200,430014,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,294000,4e+05,440000,NA
NA,NA,NA,NA,NA
NA,7003839,5e+06,5300000,NA
NA,NA,9e+05,9e+05,NA
NA,NA,2090986,2119879,1996371
NA,NA,186000,308206,NA
11111712,13988041,14351555,14636688,10736512
NA,NA,168361,170351,NA
NA,NA,1664703,1625756,NA
NA,NA,1170700,1170700,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4.3e+07,56747640,NA,NA,49959000
45869469,4.5e+07,50275505,53075650,47844000
1.1e+07,2.7e+07,32362229,32084268,15401000
18939886,22931956,28017120,29421742,16574000
NA,NA,454000,454000,NA
NA,NA,NA,NA,1615000
NA,NA,1854180,1932071,2315000
NA,2261021,NA,NA,2575000
8712124,NA,8333308,8998718,14011000
NA,NA,NA,NA,2293000
NA,NA,NA,NA,5229000
NA,NA,1252500,1237900,NA
1271031,NA,NA,NA,NA
NA,NA,4921563,4977908,3632000
NA,27433077,3e+07,3.2e+07,23584000
NA,NA,2900000,3300000,4087000
NA,NA,1.2e+07,1.4e+07,20396000
NA,NA,819000,798000,818000
19500000,21300000,23714509,24921594,15742000
NA,NA,4058476,4196603,1011550
NA,2.3e+07,NA,NA,17207000
NA,NA,1623527,1681967,1950000
NA,3122431,NA,NA,2605829
8138339,22500000,NA,NA,11324215
NA,NA,3100000,3100000,3169352
NA,NA,1770682,1770682,1878224
NA,NA,NA,NA,NA
NA,1176037.16,1376601,961454,13752412
NA,NA,4200000,4200000,NA
NA,NA,NA,NA,913267
3.4e+07,8.5e+07,39620624,40582691,NA
NA,12008786,11500000,11600000,NA
NA,NA,2976740,3007567,NA
19060789,20550788,25639819,27001750,NA
NA,NA,192637344,194568646,11992000
NA,NA,26925425,28184624,13642000
132213485,143223053,NA,NA,216136000
54143976,42529111,NA,NA,58101000
307208469,4.05e+08,222247928,231839973,33681542
NA,NA,10135122,10003496,98213
39028163,42016073,26180887,25735362,25592650
NA,NA,6964351,6806202,7219582
193410582,223623490,171677817,182899039,187735472
54415534,63555492,95153888,95432827,37338919
164422408,NA,243308215,249361182,276584177
NA,35820088,3.7e+07,3.7e+07,26444746
198766720,213493899,235271211,238415170,124022571
2806127000,3.1e+09,3548808000,3437994000,3.6e+09
NA,67652344,72806260,76076966,39355419
24809897,NA,16861921,17928636,19159347
45428890,49195415,33983322,32994562,31197663
NA,NA,105176141,113948366,54528324
NA,28606108,36717983,40272709,37813451
613854702,613294904,753827208,839783560,1.3e+09
105371781,129731704,81542937,78726803,80070175
535553478,669891367,741570559,829938132,898100000
397511883,444020352,556488969,596150123,369626288
519343208,NA,693156820,739365871,800600000
635192554,758280724,967106780,978303451,526813329
123751689,146633978,88618754,95150089,61262285
NA,66776440,80777848,83748031,42761043
198984114,223676912,282542533,280536148,162314163
1.18e+08,126318906,143529874,153322173,87004552
308439704,3.95e+08,194404249,172854752,178969585
NA,NA,83720513,82322882,45271376
8.6e+07,98926580,119815177,123750461,101696847
NA,NA,184901167,194240551,95539978
92717734,99528082,153398980,172913583,68485440
NA,NA,4138443,4392824,4547263
79410154,100213426,86933122,94398387,57875794
230627923,263306308,208419353,196238946,350513269
58038010,67039116,32120833,34237465,43543000
2347082,3816903,NA,NA,4808000
72239303,82820958,100150784,106900381,57585000
25531278,31572091,51239799,51752200,84274000
NA,5.2e+07,66835232,75270776,56284000
NA,NA,12667852,12724745,8580000
64025373,69530099,79539332,83945885,95797000
NA,NA,20436816,21119963,13434000
89802550,92020938,114056973,112731940,43216000
NA,NA,2220378,2549407,2205000
NA,14960901,15329218,16480958,16226000
NA,4.7e+07,40524291,45445834,34275000
22455005,NA,31218196,33173215,43586000
NA,NA,NA,NA,699000
NA,NA,2128903,2316707,1024000
20310565,24415435,26854202,29855408,37904000
NA,NA,3821582,4079661,1059000
3.5e+07,34666184,NA,NA,66503000
NA,71062322,87361604,88063265,39945000
36210747,NA,NA,NA,43593000
103824217,123196769,88030079,92892639,65343000
667091850,780145470,962841240,990554260,588034000
NA,NA,NA,NA,NA
54504279,61314904,77739712,80835755,72311000
24332321,41071921,29392533,30149565,38595000
37611529,52811000,59680021,64717479,43661000
131973300,152607400,188878600,197681900,188378000
11200000,13324043,16441537,16441537,11911000
NA,NA,NA,NA,61667000
22335241,23900000,33548250,34877561,20976000
4e+07,4.1e+07,55153255,57615175,53113000
22681611,23753040,35388170,36584484,21403000
376459929,392087788,463533760,480018700,260599000
39028248,41331510,55200000,57076800,32985000
53910837,NA,NA,NA,58843000
137697982,160157136,192713441,204264116,138776000
31451893,36522587,80108405,81616472,39042000
91935985,108537636,NA,NA,104289000
67053024,73400000,NA,NA,60410000
62036640,59736755,70792993,74124510,52205000
44398488,45382768,NA,NA,54689000
14729346,17316756,26764511,29578828,17608000
28098890,33528890,NA,NA,52977000
180381258,213995207,266837506,281232928,285126000
53333254,63660133,77859764,78811699,59426000
NA,561825425,725885630,752340857,500995000
129790470,104741002,142169188,150510230,238705000
212820410,260268100,312837170,324981130,230040000
128234266,NA,NA,NA,116818000
4508932,NA,6599393,5837476,14236000
56163187,NA,82272408,88765678,61980000
6.1e+07,73912859,86634607,86761308,62779000
NA,37754532,47117461,51266997,54359000
86554672,NA,NA,NA,91060000
97184163,107583000,124985600,129270000,93480000
21398078,25536555,32750834,35128511,24744000
NA,NA,2219039,2280976,2250000
70029385,83046401,95024819,113572083,52004000
17377773,2.7e+07,61764000,63379000,51646000
NA,NA,NA,NA,NA
NA,NA,420434,449423,511439
7196400,NA,NA,NA,4952000
12181000,NA,NA,NA,10798000
19200000,21153500,26178900,26889000,25546000
29673539,46700000,49939378,48954325,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,5188015
13500000,NA,NA,NA,10635000
NA,5.6e+07,NA,NA,10191061
NA,NA,3616564,4153935,NA
NA,35927478,39839973,43626150,26590000
NA,27102331,29457307,30924539,17675000
16800000,19558882,23811019,25700828,23997000
NA,33250000,33862486,3.5e+07,16339000
16624037,17437973,NA,NA,12772000
NA,38348900,47590754,48058660,49624000
NA,NA,380000,409000,NA
NA,NA,NA,NA,7233000
3e+06,NA,1384029,2075100,2151100
29824123,29395264,39623486,45381548,25602000
1600000,NA,NA,NA,2919000
NA,NA,2e+06,2e+06,NA
2.4e+07,2.4e+07,30725927,30506839,12921000
NA,NA,1320000,1320000,NA
10726476,NA,NA,NA,8059121
340000,NA,999469,1207198,NA
NA,NA,NA,NA,NA
NA,NA,NA,2915170,1009177
17440132,1.8e+07,20471242,21454105,11435000
NA,NA,NA,NA,3521000
NA,4200000,4758800,4888205,NA
NA,24750117,26191170,29502700,27197848
8850738,16832600,12668560,13269794,16084000
13319620,21954590,22611663,25416744,18466000
3e+06,8516183,5362457,5683222,5735860
NA,NA,NA,NA,2403458
57646650,59906550,63640800,64936430,46042000
1.8e+07,NA,21148275,21585008,14808000
NA,NA,NA,NA,NA
NA,NA,18290282,18796860,8967000
NA,NA,8728282,8786279,NA
950000,NA,3300000,3390236,NA
NA,NA,8200000,8800000,NA
NA,16900000,1.8e+07,18500000,7347000
NA,NA,NA,NA,NA
NA,NA,1771200,1797600,2232000
NA,NA,NA,NA,193979
11417559,1.3e+07,NA,NA,9355000
520000,NA,NA,NA,2114347
NA,NA,1994541,2005625,NA
NA,NA,4e+06,4200000,2510000
NA,NA,14249777,18842795,7621000
NA,NA,3869659,4306231,2505000
NA,NA,1250000,1497645,1771000
NA,NA,3304000,3304000,NA
NA,NA,1300000,1500000,1647000
NA,NA,3795248,3998322,NA
18037000,21933415,25118797,26065297,11934000
NA,NA,NA,NA,1935000
49049320,52943048,65137876,66413370,23560000
NA,2500000,2500000,2600000,3106000
NA,NA,1358319,1576828,NA
NA,NA,1153912,1136903,NA
3095000,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,3498302,3651973,NA
1500000,NA,NA,NA,NA
57526582,63705194,NA,NA,51193000
10801789,NA,4503378,4658047,5455000
NA,NA,NA,NA,5644000
NA,NA,NA,NA,301000
1160000,NA,NA,NA,NA
NA,NA,4401985,4401985,4237000
NA,5461389,6113716,5851523,3171000
NA,NA,1750000,1800000,2116000
NA,NA,3250000,3500000,1740000
NA,NA,2367228,2443229,1060000
NA,NA,NA,NA,4034000
NA,NA,430000,430000,480177
455602619,NA,598867299,573162818,85296000
39239689,NA,NA,NA,23025000
NA,NA,3868165,3804186,3322000
NA,NA,150000,160000,137674
6500000,NA,8089289,9418492,10142644
NA,NA,NA,NA,1451160
6e+07,NA,68879762,70723957,65242344
NA,NA,NA,NA,5869201
1815000,NA,2364467,2382105,2745000
NA,3.4e+07,36288536,36572075,25795000
NA,NA,3646860,3610630,4460666
NA,NA,NA,NA,1096926
NA,NA,1581386,1581386,1863337
NA,NA,NA,NA,1110829
NA,NA,12748538,13578100,16302000
463564,NA,629789,697989,141911
NA,NA,1500000,2e+06,1054600
NA,NA,NA,NA,5875255
NA,NA,NA,NA,96142000
32970067,37992194,28526150,32670656,42397000
NA,NA,2.9e+07,3e+07,69400000
NA,NA,4192305,4470280,3311000
NA,NA,6708484,7263623,4620000
12193208,29287683,43753060,48797953,17764000
NA,NA,9379125,9648744,1028000
NA,NA,5e+06,5e+06,25561321
8948209,15370401,12267666,13097990,17298000
NA,NA,NA,NA,273435
6570787,NA,5600000,5800000,2897083
NA,NA,2550389,2708855,1613000
NA,NA,2157357,2506102,40000
17932251,8058767,22824489,23195927,23733000
NA,NA,NA,NA,1813000
NA,NA,591837,627620,683000
1300000,NA,NA,NA,NA
NA,NA,2438598,2544851,NA
NA,NA,1e+06,1e+06,1110000
NA,NA,370000,390000,NA
NA,NA,1700000,1700000,NA
7.4e+07,83204121,86645355,90747140,229564000
NA,NA,1508873,1502874,NA
NA,NA,2559379,2690253,2243000
NA,540000,850000,850000,NA
NA,1400000,NA,NA,NA
NA,NA,1617045,2061188,1070000
NA,NA,NA,NA,816000
NA,652000,896733,1249793,NA
50257137,54060791,57528679,58954010,33084000
14600000,15511247,18871162,19317654,27481000
NA,NA,350000,350000,NA
NA,NA,2e+06,2034000,NA
NA,NA,1250000,1300000,NA
16440745,17340364,19509427,21520888,12420000
3056058,NA,NA,NA,NA
NA,NA,201467,201467,NA
220000,250000,341000,341000,NA
NA,NA,NA,NA,NA
NA,NA,2845959,2964226,2111000
NA,NA,NA,NA,455000
NA,NA,NA,NA,NA
21532889,21521640,26052444,26638637,NA
421400,NA,560800,628200,243000
NA,NA,NA,NA,1408000
NA,NA,NA,NA,NA
NA,NA,6e+05,550000,NA
NA,1200000,1256700,1386800,NA
NA,NA,720000,750000,909000
NA,NA,325350,400150,308000
450000,NA,7e+05,720000,750000
NA,NA,NA,NA,218000
NA,NA,40100000,41800000,25099000
NA,NA,10596560,10912390,8830918
38197000,NA,NA,NA,NA
30420000,38781000,NA,NA,38932000
70174000,85992000,97332233,100275080,39930000
NA,NA,3927224,NA,319000
NA,NA,6225000,6246000,8028709
NA,NA,86308495,90940000,NA
1e+07,NA,NA,NA,NA
NA,NA,NA,NA,8003670
20365596,NA,14882355,13777548,14141000
NA,NA,16235146,17737533,NA
1.21e+08,126028500,NA,NA,138836000
NA,NA,5500000,5500000,8643079
5.4e+07,59896195,65794853,67856248,104217000
33663132,3.3e+07,34928605,34656794,40271471
NA,27830000,31740000,35020000,8722000
NA,NA,8989524,9000019,9571303
NA,NA,22088110,22370540,14806071
3.1e+07,NA,NA,NA,45871023
19400000,NA,30721000,28557000,2672000
NA,42860300,NA,NA,23079000
NA,10151538,11895240,12880331,14460223
18405100,NA,24890000,24880000,27623481
36190000,36520437,46433669,47798421,46957000
NA,NA,NA,NA,13207000
2.3e+07,2.7e+07,3.6e+07,3.6e+07,31789000
1.3e+07,14043976,14299247,14657000,8837000
NA,NA,14367797,14773940,6204000
15156100,12500000,NA,NA,7623000
NA,71432874,71207051,67529469,69937000
NA,NA,20203500,19938000,11581000
NA,29414150,27051000,26307000,38674000
1131553,NA,3991396,4127455,3609000
1.1e+07,NA,11022000,11065000,7262000
11912300,NA,11601400,10975240,11203342
NA,NA,NA,NA,8719000
NA,NA,NA,NA,7107000
NA,NA,NA,NA,NA
49718199,58896946,NA,NA,NA
NA,NA,NA,NA,530286000
9360000,12348834,14738173,16162757,27980000
NA,NA,18100000,18300000,23276000
75544255,79926900,94754000,96364700,103295000
25881678,47825000,49557532,51041784,46029000
66516256,NA,86987548,92513016,87634000
NA,NA,3985910,3961330,NA
19494152,32500000,42574724,47410062,30971000
22600000,NA,35208340,35158490,19088000
7323445,NA,12994704,13072966,13264000
5324455,NA,7200000,7400000,9644000
1002392,NA,6278699,6278699,3380000
NA,NA,2257632,2420584,NA
2e+06,NA,2169864,2300629,1470000
NA,NA,3500000,4234319,3460000
NA,NA,NA,NA,1970000
NA,NA,NA,NA,3860000
NA,NA,3351325,3599354,2019000
13200000,NA,NA,NA,9646000
NA,NA,32569709,32438137,3371000
NA,NA,3990473,4255280,1670000
NA,NA,3184398,3203192,2070000
NA,NA,1547599,1638752,814000
NA,NA,5999679,6569530,3444000
2.4e+07,2.6e+07,24170400,22710400,16943000
NA,NA,65046293,67730797,41110000
62625350,66679891,86582543,92016965,39289000
140121177,1.41e+08,163323596,166768499,67648000
2.6e+07,NA,34936781,36004399,22672000
NA,NA,NA,NA,5351000
49637267,49305293,30294711,30601098,46628000
NA,NA,NA,NA,5905000
NA,32588594,38578310,41334385,51909000
1900000,NA,1252066,1333080,NA
NA,NA,NA,NA,NA
89994641,100802635,113676077,118659559,129701000
NA,NA,NA,NA,NA
2e+06,NA,NA,NA,NA
NA,NA,7e+06,8e+06,NA
750000,922175,1e+06,1e+06,NA
NA,NA,3221218,3466342,NA
NA,NA,2110118,2042285,NA
46532955,54061218,NA,NA,77076000
NA,NA,NA,NA,28901000
NA,NA,2273076,2805700,2571000
NA,NA,3253811,3404823,3290000
NA,NA,3.6e+07,3.8e+07,28238000
NA,2e+06,NA,NA,NA
1752144,NA,7225024,7293998,4292000
NA,NA,23466696,25911980,26540000
NA,NA,NA,NA,NA
NA,NA,NA,NA,13934000
NA,5800000,NA,NA,9425000
NA,NA,7e+05,750000,665246
13500000,12770045,NA,NA,12917000
NA,NA,NA,NA,NA
9800000,8500000,NA,NA,9750000
NA,NA,NA,NA,NA
NA,20563298,27855118,31671741,7174000
NA,NA,2693000,2671983,1636000
NA,NA,10312114,12150134,5057000
8585725,NA,NA,NA,NA
NA,16554589,18543348,26729074,24725000
NA,NA,NA,NA,3114000
NA,NA,NA,NA,459200
NA,NA,6321865,6864106,7918000
NA,NA,484627,532377,NA
NA,1206267,1960050,1878592,NA
530000,NA,NA,NA,2223843
1200000,1400000,1177180,1300000,NA
1656800,NA,1600000,1590000,NA
NA,512566,6e+05,608480,NA
NA,NA,NA,NA,335546
NA,NA,NA,NA,NA
NA,NA,4579446,4520934,88882
NA,NA,1216604,1348836,NA
NA,NA,489594,503473,NA
NA,NA,1e+06,1e+06,NA
NA,NA,2.4e+07,2.5e+07,16447000
NA,NA,19923230,20095151,14332000
19500000,1.9e+07,20866863,22480843,11496000
1.5e+07,NA,NA,NA,12063000
NA,NA,850000,925000,2043000
NA,NA,1557996,1557996,1423000
NA,NA,3428000,3457000,4095000
NA,NA,1620526,1623367,2075000
860000,NA,841999,1102457,1106000
NA,NA,NA,NA,NA
NA,NA,19626369,19876188,12156000
NA,NA,850000,850000,2029000
NA,NA,3750000,3800000,3229000
NA,937551,1027900,606250,1317000
NA,NA,5810995,4786671,6010000
8e+05,NA,1414251,1459371,1661000
NA,NA,NA,NA,959000
NA,NA,NA,NA,1776000
NA,NA,1200000,1200000,1306000
NA,NA,7558324,8293962,1650000
NA,205000,350000,350000,363000
450000,NA,812384,848398,NA
NA,NA,3082813,3111658,2812000
NA,NA,3470900,3705000,3229000
NA,NA,650000,7e+05,NA
NA,789286,NA,NA,899000
NA,NA,2e+06,2100000,917000
NA,NA,NA,NA,NA
NA,NA,NA,NA,649000
NA,NA,269950,282000,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,286000
NA,NA,730417,736370,NA
14300000,15645831,16786749,17256514,18042000
NA,NA,477540,484250,NA
NA,NA,NA,NA,644000
NA,NA,175000,183186,156000
NA,NA,670000,680000,NA
NA,NA,2300000,2500000,NA
279000,NA,NA,NA,NA
NA,NA,507058,574565,NA
NA,6012494,2805884,2901697,NA
1.8e+07,20916056,NA,NA,16793000
NA,NA,2100000,2200000,3936000
NA,NA,450000,5e+05,NA
NA,21164008,25952428,25868165,25271000
NA,NA,5e+06,5800000,512479
10778600,24825525,NA,NA,33848000
2.6e+07,35605518,NA,NA,52575000
NA,20432817,31749305,34901840,20349000
NA,16993354,20545047,21224508,16679000
8187010,NA,14529603,15107734,13562000
NA,NA,5e+06,5500000,0
NA,NA,8756593,9003284,25538000
40151049,49064677,NA,NA,38866000
1.4e+07,NA,17778548,17989060,15144000
4736347,33358538,3.9e+07,4e+07,28442000
NA,NA,NA,NA,6495259
41816466,45585496,59469255,60601981,33692000
NA,NA,NA,NA,1559000
NA,NA,NA,NA,1027355
5.7e+07,63614731,67929679,63856329,49270000
16561707,17866493,12016312,12425838,0
17885205,18452558,NA,NA,19509000
19938365,NA,NA,NA,36175000
5261486,NA,7650000,8e+06,6211046
NA,NA,NA,NA,21376000
NA,NA,15665598,16465077,13612541
NA,NA,6522744,7459350,22713756
3.8e+07,42628892,53598395,57939781,81589083
NA,NA,4293996,4828132,0
NA,NA,20252760,20347531,53029566
NA,NA,12983803,12687182,171758
10713051,NA,158858357,158858357,52984556
1.5e+07,17329369,21359091,22564010,53196667
9114782,16262688,10021656,11455362,36012077
NA,NA,NA,NA,24410073
3.2e+07,15853764,NA,NA,48704665
NA,NA,NA,NA,12001478
NA,NA,NA,NA,24073098
NA,NA,2933788,2882876,0
2.2e+07,2.8e+07,34191115,32851979,70546972
NA,NA,NA,NA,99900000
NA,14907254,NA,NA,41221937
NA,NA,NA,NA,24722483
NA,NA,870000,910000,NA
NA,NA,685152,681502,655000
NA,NA,669141,791135,NA
6338549,NA,15119126,15863217,6388000
NA,NA,20420376,21520400,16899000
NA,NA,546841,645394,449000
NA,575975,NA,NA,NA
NA,NA,347420,378543,NA
NA,463674,NA,NA,420000
1317000,NA,3500000,4e+06,3431000
NA,NA,75000,90000,NA
NA,NA,375000,390000,749000
NA,NA,881070,972070,1351000
NA,NA,NA,NA,7604000
NA,NA,NA,NA,NA
NA,NA,NA,NA,7518000
7917590,34207468,8700000,8500000,NA
59895336,NA,80943518,84194691,NA
NA,NA,2144195,2151355,NA
18034000,4.7e+07,NA,NA,NA
NA,NA,NA,NA,NA
23689782,23083010,32971869,33373248,NA
NA,15600000,NA,NA,NA
NA,NA,21241000,23205639,NA
NA,71439861,73460296,71819198,NA
NA,NA,7443724,7449158,NA
NA,16155664,16294410,15817051,NA
33640891,4e+07,6e+07,6.5e+07,60748000
NA,1.8e+07,20890554,20849373,NA
