AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
gulf shores police department,AL,NA,NA,6241526,7119647,6760000
daphne police department,AL,NA,NA,7503019,7940729,4992000
summerdale police department,AL,NA,NA,NA,NA,NA
west blocton police department,AL,NA,NA,NA,NA,NA
weaver police department,AL,NA,NA,707505,777543,NA
oxford police department,AL,NA,6400000,9151911,12996005,9045000
centre police department,AL,NA,NA,NA,NA,NA
leesburg police department,AL,NA,NA,NA,NA,NA
clanton police department,AL,NA,NA,1600000,1700000,2882000
jemison police department,AL,NA,NA,845100,951540,757000
jackson police department,AL,NA,NA,2600000,2800000,NA
ashland police department,AL,NA,NA,517600,509400,487034
muscle shoals police department,AL,NA,NA,3500000,4e+06,4016000
cherokee police department,AL,NA,NA,NA,NA,NA
brantley police department,AL,NA,NA,370000,370000,249000
clayhatchee police department,AL,NA,NA,NA,NA,NA
selma police department,AL,4e+06,NA,NA,NA,4912000
henagar police department,AL,396000,NA,468900,468900,NA
rainsville police department,AL,NA,NA,1065323,1201028,NA
sylvania police department,AL,NA,NA,176000,179550,NA
tallassee police department,AL,NA,NA,1500000,1500000,NA
eclectic police department,AL,NA,492647,320100,355250,NA
millbrook police department,AL,NA,NA,NA,NA,2210000
gadsden police department,AL,NA,1e+07,10065130,11013820,10945000
sardis police department,AL,NA,NA,166966,177623,NA
fayette police department,AL,NA,723776.37,850000,850000,NA
dothan police department,AL,17353101,20002851,2.7e+07,2.7e+07,22357000
scottsboro police department,AL,NA,NA,4917674,4955436,4299000
sulligent police department,AL,NA,NA,395850,479550,NA
florence police department,AL,NA,9700000,11450608,11838317,11570000
lexington police department,AL,NA,NA,1e+05,1e+05,NA
hillsboro police department,AL,NA,NA,NA,NA,NA
auburn police division,AL,NA,10352782,15432644,17265866,16055000
hayneville police department,AL,NA,NA,NA,NA,NA
shorter police department,AL,NA,NA,NA,NA,NA
huntsville police department,AL,39881825,39883501,50138599,54249714,52078000
guin police department,AL,NA,NA,227500,227500,NA
bear creek police department,AL,NA,NA,207389,210386,NA
arab police department,AL,NA,NA,2700000,2700000,1556000
douglas police department,AL,NA,NA,NA,NA,210000
frisco city police department,AL,NA,NA,1e+05,130000,NA
decatur police department,AL,11812534,NA,15250884,15014739,13176000
reform police department,AL,NA,NA,543000,543000,NA
phenix city police department,AL,NA,NA,7845565,8517854,6727000
pell city police department,AL,NA,NA,4e+06,4e+06,3601000
ashville police department,AL,342000,NA,373682,486428,438000
ragland police department,AL,NA,NA,3e+05,340000,NA
columbiana police department,AL,NA,NA,886600,910800,918000
alabaster police department,AL,NA,NA,7662330,7843940,7888000
harpersville police department,AL,NA,NA,380000,388000,NA
york police department,AL,NA,NA,NA,NA,165400000
livingston police department,AL,NA,NA,750000,8e+05,1044000
sylacauga police department,AL,NA,NA,3547809,3556184,3583000
talladega police department,AL,2411378,NA,NA,NA,3896000
tuscaloosa police department,AL,NA,3.1e+07,NA,NA,33114000
dora police department,AL,NA,NA,NA,NA,NA
chatom police department,AL,NA,NA,393000,390000,NA
gillett police department,AR,NA,NA,NA,NA,7668993
crossett police department,AR,NA,NA,1700000,1700000,NA
hamburg police department,AR,389633,NA,515100,517515,NA
norfork police department,AR,NA,30000,NA,NA,NA
rogers police department,AR,NA,NA,12171145,13357090,NA
pea ridge police department,AR,NA,NA,1376500,1370859,NA
lowell police department,AR,NA,NA,1800000,2e+06,NA
harrison police department,AR,NA,NA,3617844,3661849,NA
diamond city police department,AR,NA,70000,NA,NA,NA
lake village police department,AR,NA,NA,867975,892476,NA
caddo valley police department,AR,NA,NA,380000,390000,1980274
magnolia police department,AR,NA,NA,1630064,1661325,NA
jonesboro police department,AR,9693714,11784557,12289780,14765959,NA
bay police department,AR,NA,NA,150000,150000,NA
alma police department,AR,NA,NA,1724740,1654410,NA
fordyce police department,AR,NA,NA,6e+05,644000,NA
conway police department,AR,9705143,11032708,12153310,12404707,NA
vilonia police department,AR,NA,NA,614544,633428,705435
hot springs police department,AR,NA,1.2e+07,13886787,14470880,1.4e+07
marmaduke police department,AR,NA,NA,323116,332697,NA
nashville police department,AR,NA,NA,1130344,1130344,NA
pine bluff police department,AR,NA,10217889,9955211,10811053,NA
