AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
pewaukee village police department,WI,NA,NA,NA,NA,NA
eagle police department,WI,NA,NA,371428,382182,NA
big bend police department,WI,NA,NA,412312,438604,NA
new london police department,WI,NA,NA,2220891,2326306,NA
oshkosh police department,WI,1.2e+07,12873800,13825700,14303750,NA
milwaukee police department,WI,237538363,277233534,298922696,297366419,280400000
belington police department,WV,NA,NA,NA,NA,NA
burnsville police department,WV,NA,NA,82000,70000,NA
milton police department,WV,NA,NA,9e+05,9e+05,NA
lumberport police department,WV,NA,NA,NA,NA,NA
ravenswood police department,WV,NA,814580,NA,NA,NA
ripley police department,WV,NA,NA,459000,459000,NA
shepherdstown police department,WV,NA,NA,425694,538674,NA
charleston police department,WV,14658352,10193012,22095156,21362961,NA
east bank police department,WV,NA,NA,NA,NA,NA
rivesville police department,WV,NA,NA,30000,30000,NA
farmington police department,WV,NA,75000,NA,NA,NA
mcmechen police department,WV,NA,NA,NA,NA,NA
delbarton police department,WV,NA,NA,80000,80000,NA
matewan police department,WV,NA,NA,50000,50000,NA
morgantown police department,WV,NA,6866409,8993807,9374945,NA
summersville police department,WV,NA,NA,1600000,1600000,NA
saint marys police department,WV,NA,NA,442200,430014,NA
winfield police department,WV,NA,NA,NA,NA,NA
mabscott police department,WV,NA,NA,NA,NA,NA
grafton police department,WV,NA,294000,4e+05,440000,NA
sistersville police department,WV,NA,NA,NA,NA,NA
laramie police department,WY,NA,7003839,5e+06,5300000,NA
lovell police department,WY,NA,NA,9e+05,9e+05,NA
lander police department,WY,NA,NA,2090986,2119879,1996371
shoshoni police department,WY,NA,NA,186000,308206,NA
cheyenne police department,WY,11111712,13988041,14351555,14636688,10736512
diamondville police department,WY,NA,NA,168361,170351,NA
worland police department,WY,NA,NA,1664703,1625756,NA
newcastle police department,WY,NA,NA,1170700,1170700,NA
buena vista city sheriff's office,VA,NA,NA,NA,NA,NA
new york city sheriff's office,NY,NA,NA,NA,NA,NA
oglala lakota county sheriff's office,SD,NA,NA,NA,NA,NA
jefferson county sheriff's office,AL,4.3e+07,56747640,NA,NA,49959000
mobile county sheriff's office,AL,45869469,4.5e+07,50275505,53075650,47844000
montgomery county sheriff's office,AL,1.1e+07,2.7e+07,32362229,32084268,15401000
baldwin county sheriff's office,AL,18939886,22931956,28017120,29421742,16574000
bullock county sheriff's office,AL,NA,NA,454000,454000,NA
clarke county sheriff's office,AL,NA,NA,NA,NA,1615000
cleburne county sheriff's office,AL,NA,NA,1854180,1932071,2315000
colbert county sheriff's office,AL,NA,2261021,NA,NA,2575000
cullman county sheriff's office,AL,8712124,NA,8333308,8998718,14011000
dale county sheriff's office,AL,NA,NA,NA,NA,2293000
franklin county sheriff's office,AL,NA,NA,NA,NA,5229000
geneva county sheriff's office,AL,NA,NA,1252500,1237900,NA
hale county sheriff's office,AL,1271031,NA,NA,NA,NA
jackson county sheriff's office,AL,NA,NA,4921563,4977908,3632000
madison county sheriff's office,AL,NA,27433077,3e+07,3.2e+07,23584000
marshall county sheriff's office,AL,NA,NA,2900000,3300000,4087000
morgan county sheriff's office,AL,NA,NA,1.2e+07,1.4e+07,20396000
perry county sheriff's office,AL,NA,NA,819000,798000,818000
shelby county sheriff's office,AL,19500000,21300000,23714509,24921594,15742000
tallapoosa county sheriff's office,AL,NA,NA,4058476,4196603,1011550
tuscaloosa county sheriff's office,AL,NA,2.3e+07,NA,NA,17207000
washington county sheriff's office,AL,NA,NA,1623527,1681967,1950000
baxter county sheriff's office,AR,NA,3122431,NA,NA,2605829
benton county sheriff's office,AR,8138339,22500000,NA,NA,11324215
cleburne county sheriff's office,AR,NA,NA,3100000,3100000,3169352
conway county sheriff's office,AR,NA,NA,1770682,1770682,1878224
jackson county sheriff's office,AR,NA,NA,NA,NA,NA
lincoln county sheriff's office,AR,NA,1176037.16,1376601,961454,13752412
lonoke county sheriff's office,AR,NA,NA,4200000,4200000,NA
prairie county sheriff's office,AR,NA,NA,NA,NA,913267
pulaski county sheriff's office,AR,3.4e+07,8.5e+07,39620624,40582691,NA
sebastian county sheriff's office,AR,NA,12008786,11500000,11600000,NA
union county sheriff's office,AR,NA,NA,2976740,3007567,NA
washington county sheriff's office,AR,19060789,20550788,25639819,27001750,NA
maricopa county sheriff's office,AZ,NA,NA,192637344,194568646,11992000
mohave county sheriff's office,AZ,NA,NA,26925425,28184624,13642000
pima county sheriff's department,AZ,132213485,143223053,NA,NA,216136000
pinal county sheriff's office,AZ,54143976,42529111,NA,NA,58101000
alameda county sheriff's office,CA,307208469,4.05e+08,222247928,231839973,33681542
amador county sheriff's office,CA,NA,NA,10135122,10003496,98213
butte county sheriff's department,CA,39028163,42016073,26180887,25735362,25592650
colusa county sheriff's office,CA,NA,NA,6964351,6806202,7219582
contra costa county sheriff's office,CA,193410582,223623490,171677817,182899039,187735472
el dorado county sheriff's office,CA,54415534,63555492,95153888,95432827,37338919
fresno county sheriff's office,CA,164422408,NA,243308215,249361182,276584177
imperial county sheriff's department,CA,NA,35820088,3.7e+07,3.7e+07,26444746
kern county sheriff's office,CA,198766720,213493899,235271211,238415170,124022571
los angeles county sheriff's department,CA,2806127000,3.1e+09,3548808000,3437994000,3.6e+09
marin county sheriff's office,CA,NA,67652344,72806260,76076966,39355419
mendocino county sheriff's office,CA,24809897,NA,16861921,17928636,19159347
merced county sheriff's department,CA,45428890,49195415,33983322,32994562,31197663
monterey county sheriff's office,CA,NA,NA,105176141,113948366,54528324
napa county sheriff's office,CA,NA,28606108,36717983,40272709,37813451
orange county sheriff's department,CA,613854702,613294904,753827208,839783560,1.3e+09
placer county sheriff's office/coroner,CA,105371781,129731704,81542937,78726803,80070175
riverside county sheriff's office,CA,535553478,669891367,741570559,829938132,898100000
sacramento county sheriff's department,CA,397511883,444020352,556488969,596150123,369626288
san bernardino county sheriff's office,CA,519343208,NA,693156820,739365871,800600000
san diego county sheriff's office,CA,635192554,758280724,967106780,978303451,526813329
san joaquin county sheriff's office,CA,123751689,146633978,88618754,95150089,61262285
san luis obispo county sheriff/coroner's office,CA,NA,66776440,80777848,83748031,42761043
san mateo county sheriff's office,CA,198984114,223676912,282542533,280536148,162314163
santa barbara county sheriff's office,CA,1.18e+08,126318906,143529874,153322173,87004552
santa clara county sheriff's office,CA,308439704,3.95e+08,194404249,172854752,178969585
santa cruz county sheriff's office,CA,NA,NA,83720513,82322882,45271376
solano county sheriff's office,CA,8.6e+07,98926580,119815177,123750461,101696847
sonoma county sheriff's office,CA,NA,NA,184901167,194240551,95539978
stanislaus county sheriff's office,CA,92717734,99528082,153398980,172913583,68485440
trinity county sheriff's office,CA,NA,NA,4138443,4392824,4547263
tulare county sheriff's office,CA,79410154,100213426,86933122,94398387,57875794
ventura county sheriff's office,CA,230627923,263306308,208419353,196238946,350513269
adams county sheriff's office,CO,58038010,67039116,32120833,34237465,43543000
alamosa county sheriff's office,CO,2347082,3816903,NA,NA,4808000
arapahoe county sheriff's office,CO,72239303,82820958,100150784,106900381,57585000
boulder county sheriff's office,CO,25531278,31572091,51239799,51752200,84274000
douglas county sheriff's office,CO,NA,5.2e+07,66835232,75270776,56284000
eagle county sheriff's office,CO,NA,NA,12667852,12724745,8580000
el paso county sheriff's office,CO,64025373,69530099,79539332,83945885,95797000
garfield county sheriff's office,CO,NA,NA,20436816,21119963,13434000
jefferson county sheriff's office,CO,89802550,92020938,114056973,112731940,43216000
lake county sheriff's office,CO,NA,NA,2220378,2549407,2205000
la plata county sheriff's office,CO,NA,14960901,15329218,16480958,16226000
larimer county sheriff's office,CO,NA,4.7e+07,40524291,45445834,34275000
mesa county sheriff's office,CO,22455005,NA,31218196,33173215,43586000
mineral county sheriff's office,CO,NA,NA,NA,NA,699000
otero county sheriff's office,CO,NA,NA,2128903,2316707,1024000
pueblo county sheriff's office,CO,20310565,24415435,26854202,29855408,37904000
washington county sheriff's office,CO,NA,NA,3821582,4079661,1059000
weld county sheriff's office,CO,3.5e+07,34666184,NA,NA,66503000
alachua county sheriff's office,FL,NA,71062322,87361604,88063265,39945000
bay county sheriff's office,FL,36210747,NA,NA,NA,43593000
brevard county sheriff's office,FL,103824217,123196769,88030079,92892639,65343000
broward county sheriff's office,FL,667091850,780145470,962841240,990554260,588034000
calhoun county sheriff's office,FL,NA,NA,NA,NA,NA
charlotte county sheriff's office,FL,54504279,61314904,77739712,80835755,72311000
citrus county sheriff's office,FL,24332321,41071921,29392533,30149565,38595000
clay county sheriff's office,FL,37611529,52811000,59680021,64717479,43661000
collier county sheriff's office,FL,131973300,152607400,188878600,197681900,188378000
columbia county sheriff's office,FL,11200000,13324043,16441537,16441537,11911000
escambia county sheriff's office,FL,NA,NA,NA,NA,61667000
flagler county sheriff's office,FL,22335241,23900000,33548250,34877561,20976000
hernando county sheriff's office,FL,4e+07,4.1e+07,55153255,57615175,53113000
highlands county sheriff's office,FL,22681611,23753040,35388170,36584484,21403000
hillsborough county sheriff's office,FL,376459929,392087788,463533760,480018700,260599000
indian river county sheriff's office,FL,39028248,41331510,55200000,57076800,32985000
lake county sheriff's office,FL,53910837,NA,NA,NA,58843000
lee county sheriff's office,FL,137697982,160157136,192713441,204264116,138776000
leon county sheriff's office,FL,31451893,36522587,80108405,81616472,39042000
manatee county sheriff's office,FL,91935985,108537636,NA,NA,104289000
marion county sheriff's office,FL,67053024,73400000,NA,NA,60410000
martin county sheriff's office,FL,62036640,59736755,70792993,74124510,52205000
monroe county sheriff's office,FL,44398488,45382768,NA,NA,54689000
nassau county sheriff's office,FL,14729346,17316756,26764511,29578828,17608000
okaloosa county sheriff's office,FL,28098890,33528890,NA,NA,52977000
orange county sheriff's office,FL,180381258,213995207,266837506,281232928,285126000
osceola county sheriff's office,FL,53333254,63660133,77859764,78811699,59426000
palm beach county sheriff's office,FL,NA,561825425,725885630,752340857,500995000
pasco county sheriff's office,FL,129790470,104741002,142169188,150510230,238705000
pinellas county sheriff's office,FL,212820410,260268100,312837170,324981130,230040000
polk county sheriff's office,FL,128234266,NA,NA,NA,116818000
putnam county sheriff's office,FL,4508932,NA,6599393,5837476,14236000
saint johns county sheriff's office,FL,56163187,NA,82272408,88765678,61980000
saint lucie county sheriff's office,FL,6.1e+07,73912859,86634607,86761308,62779000
santa rosa county sheriff's office,FL,NA,37754532,47117461,51266997,54359000
sarasota county sheriff's office,FL,86554672,NA,NA,NA,91060000
seminole county sheriff's office,FL,97184163,107583000,124985600,129270000,93480000
sumter county sheriff's office,FL,21398078,25536555,32750834,35128511,24744000
union county sheriff's office,FL,NA,NA,2219039,2280976,2250000
volusia county sheriff's office,FL,70029385,83046401,95024819,113572083,52004000
walton county sheriff's office,FL,17377773,2.7e+07,61764000,63379000,51646000
appling county sheriff's office,GA,NA,NA,NA,NA,NA
baker county sheriff's department,GA,NA,NA,420434,449423,511439
baldwin county sheriff's department,GA,7196400,NA,NA,NA,4952000
barrow county sheriff's office,GA,12181000,NA,NA,NA,10798000
bartow county sheriff's office,GA,19200000,21153500,26178900,26889000,25546000
bibb county sheriff's office,GA,29673539,46700000,49939378,48954325,NA
brantley county sheriff's office,GA,NA,NA,NA,NA,NA
brooks county sheriff's department,GA,NA,NA,NA,NA,NA
bulloch county sheriff's department,GA,NA,NA,NA,NA,5188015
carroll county sheriff's department,GA,13500000,NA,NA,NA,10635000
chatham county sheriff's department,GA,NA,5.6e+07,NA,NA,10191061
chattooga county sheriff's department,GA,NA,NA,3616564,4153935,NA
cherokee county sheriff's office,GA,NA,35927478,39839973,43626150,26590000
columbia county sheriff's office,GA,NA,27102331,29457307,30924539,17675000
coweta county sheriff's office,GA,16800000,19558882,23811019,25700828,23997000
douglas county sheriff's office,GA,NA,33250000,33862486,3.5e+07,16339000
fayette county sheriff's office,GA,16624037,17437973,NA,NA,12772000
forsyth county sheriff's office,GA,NA,38348900,47590754,48058660,49624000
glascock county sheriff's department,GA,NA,NA,380000,409000,NA
gordon county sheriff's office,GA,NA,NA,NA,NA,7233000
grady county sheriff's department,GA,3e+06,NA,1384029,2075100,2151100
hall county sheriff's office,GA,29824123,29395264,39623486,45381548,25602000
haralson county sheriff's office,GA,1600000,NA,NA,NA,2919000
heard county sheriff's office,GA,NA,NA,2e+06,2e+06,NA
houston county sheriff's department,GA,2.4e+07,2.4e+07,30725927,30506839,12921000
irwin county sheriff's department,GA,NA,NA,1320000,1320000,NA
jackson county sheriff's department,GA,10726476,NA,NA,NA,8059121
jenkins county sheriff's office,GA,340000,NA,999469,1207198,NA
lamar county sheriff's office,GA,NA,NA,NA,NA,NA
long county sheriff's department,GA,NA,NA,NA,2915170,1009177
lowndes county sheriff's office,GA,17440132,1.8e+07,20471242,21454105,11435000
mcintosh county sheriff's department,GA,NA,NA,NA,NA,3521000
murray county sheriff's department,GA,NA,4200000,4758800,4888205,NA
muscogee county sheriff's office,GA,NA,24750117,26191170,29502700,27197848
newton county sheriff's department,GA,8850738,16832600,12668560,13269794,16084000
paulding county sheriff's office,GA,13319620,21954590,22611663,25416744,18466000
polk county sheriff's office,GA,3e+06,8516183,5362457,5683222,5735860
rabun county sheriff's department,GA,NA,NA,NA,NA,2403458
richmond county sheriff's office,GA,57646650,59906550,63640800,64936430,46042000
rockdale county sheriff's office,GA,1.8e+07,NA,21148275,21585008,14808000
schley county sheriff's department,GA,NA,NA,NA,NA,NA
spalding county sheriff's department,GA,NA,NA,18290282,18796860,8967000
tift county sheriff's department,GA,NA,NA,8728282,8786279,NA
toombs county sheriff's office,GA,950000,NA,3300000,3390236,NA
walker county sheriff's department,GA,NA,NA,8200000,8800000,NA
walton county sheriff's department,GA,NA,16900000,1.8e+07,18500000,7347000
ware county sheriff's office,GA,NA,NA,NA,NA,NA
washington county sheriff's office,GA,NA,NA,1771200,1797600,2232000
white county sheriff's office,GA,NA,NA,NA,NA,193979
whitfield county sheriff's department,GA,11417559,1.3e+07,NA,NA,9355000
wilcox county sheriff's department,GA,520000,NA,NA,NA,2114347
wilkinson county sheriff's department,GA,NA,NA,1994541,2005625,NA
benton county sheriff's office,IA,NA,NA,4e+06,4200000,2510000
black hawk county sheriff's office,IA,NA,NA,14249777,18842795,7621000
buena vista county sheriff's office,IA,NA,NA,3869659,4306231,2505000
greene county sheriff's office,IA,NA,NA,1250000,1497645,1771000
hamilton county sheriff's office,IA,NA,NA,3304000,3304000,NA
humboldt county sheriff's office,IA,NA,NA,1300000,1500000,1647000
lee county sheriff's office,IA,NA,NA,3795248,3998322,NA
linn county sheriff's office,IA,18037000,21933415,25118797,26065297,11934000
pocahontas county sheriff's office,IA,NA,NA,NA,NA,1935000
polk county sheriff's office,IA,49049320,52943048,65137876,66413370,23560000
poweshiek county sheriff's office,IA,NA,2500000,2500000,2600000,3106000
ringgold county sheriff's office,IA,NA,NA,1358319,1576828,NA
sac county sheriff's office,IA,NA,NA,1153912,1136903,NA
sioux county sheriff's office,IA,3095000,NA,NA,NA,NA
van buren county sheriff's office,IA,NA,NA,NA,NA,NA
wapello county sheriff's office,IA,NA,NA,3498302,3651973,NA
wright county sheriff's office,IA,1500000,NA,NA,NA,NA
ada county sheriff's office,ID,57526582,63705194,NA,NA,51193000
bannock county sheriff's office,ID,10801789,NA,4503378,4658047,5455000
bonner county sheriff's office,ID,NA,NA,NA,NA,5644000
camas county sheriff's office,ID,NA,NA,NA,NA,301000
caribou county sheriff's office,ID,1160000,NA,NA,NA,NA
cassia county sheriff's office,ID,NA,NA,4401985,4401985,4237000
elmore county sheriff's office,ID,NA,5461389,6113716,5851523,3171000
franklin county sheriff's office,ID,NA,NA,1750000,1800000,2116000
jerome county sheriff's office,ID,NA,NA,3250000,3500000,1740000
teton county sheriff's office,ID,NA,NA,2367228,2443229,1060000
adams county sheriff's office,IL,NA,NA,NA,NA,4034000
calhoun county sheriff's office,IL,NA,NA,430000,430000,480177
cook county sheriff's office,IL,455602619,NA,598867299,573162818,85296000
dupage county sheriff's office,IL,39239689,NA,NA,NA,23025000
fulton county sheriff's office,IL,NA,NA,3868165,3804186,3322000
gallatin county sheriff's office,IL,NA,NA,150000,160000,137674
jackson county sheriff's office,IL,6500000,NA,8089289,9418492,10142644
jasper county sheriff's office,IL,NA,NA,NA,NA,1451160
lake county sheriff's office,IL,6e+07,NA,68879762,70723957,65242344
lee county sheriff's office,IL,NA,NA,NA,NA,5869201
mcdonough county sheriff's office,IL,1815000,NA,2364467,2382105,2745000
mchenry county sheriff's office,IL,NA,3.4e+07,36288536,36572075,25795000
monroe county sheriff's office,IL,NA,NA,3646860,3610630,4460666
morgan county sheriff's office,IL,NA,NA,NA,NA,1096926
perry county sheriff's office,IL,NA,NA,1581386,1581386,1863337
schuyler county sheriff's office,IL,NA,NA,NA,NA,1110829
vermilion county sheriff's office,IL,NA,NA,12748538,13578100,16302000
wabash county sheriff's office,IL,463564,NA,629789,697989,141911
warren county sheriff's office,IL,NA,NA,1500000,2e+06,1054600
whiteside county sheriff's office,IL,NA,NA,NA,NA,5875255
will county sheriff's office,IL,NA,NA,NA,NA,96142000
winnebago county sheriff's office,IL,32970067,37992194,28526150,32670656,42397000
allen county sheriff's department,IN,NA,NA,2.9e+07,3e+07,69400000
cass county sheriff's department,IN,NA,NA,4192305,4470280,3311000
harrison county sheriff's department,IN,NA,NA,6708484,7263623,4620000
lake county sheriff's department,IN,12193208,29287683,43753060,48797953,17764000
la porte county sheriff's office,IN,NA,NA,9379125,9648744,1028000
montgomery county sheriff's department,IN,NA,NA,5e+06,5e+06,25561321
saint joseph county police department,IN,8948209,15370401,12267666,13097990,17298000
scott county sheriff's department,IN,NA,NA,NA,NA,273435
shelby county sheriff's department,IN,6570787,NA,5600000,5800000,2897083
steuben county sheriff's department,IN,NA,NA,2550389,2708855,1613000
sullivan county sheriff's department,IN,NA,NA,2157357,2506102,40000
vanderburgh county sheriff's office,IN,17932251,8058767,22824489,23195927,23733000
whitley county sheriff's department,IN,NA,NA,NA,NA,1813000
barber county sheriff's department,KS,NA,NA,591837,627620,683000
brown county sheriff's department,KS,1300000,NA,NA,NA,NA
cherokee county sheriff's office,KS,NA,NA,2438598,2544851,NA
gray county sheriff's department,KS,NA,NA,1e+06,1e+06,1110000
greeley county sheriff's office,KS,NA,NA,370000,390000,NA
greenwood county sheriff's department,KS,NA,NA,1700000,1700000,NA
johnson county sheriff's office,KS,7.4e+07,83204121,86645355,90747140,229564000
kearny county sheriff's department,KS,NA,NA,1508873,1502874,NA
labette county sheriff's department,KS,NA,NA,2559379,2690253,2243000
marion county sheriff's department,KS,NA,540000,850000,850000,NA
mitchell county sheriff's department,KS,NA,1400000,NA,NA,NA
neosho county sheriff's department,KS,NA,NA,1617045,2061188,1070000
phillips county sheriff's department,KS,NA,NA,NA,NA,816000
rooks county sheriff's department,KS,NA,652000,896733,1249793,NA
sedgwick county sheriff's office,KS,50257137,54060791,57528679,58954010,33084000
shawnee county sheriff's office,KS,14600000,15511247,18871162,19317654,27481000
stanton county sheriff's department,KS,NA,NA,350000,350000,NA
thomas county sheriff's office,KS,NA,NA,2e+06,2034000,NA
wabaunsee county sheriff's office,KS,NA,NA,1250000,1300000,NA
boone county sheriff's office,KY,16440745,17340364,19509427,21520888,12420000
christian county sheriff's office,KY,3056058,NA,NA,NA,NA
crittenden county sheriff's office,KY,NA,NA,201467,201467,NA
cumberland county sheriff's office,KY,220000,250000,341000,341000,NA
fleming county sheriff's office,KY,NA,NA,NA,NA,NA
franklin county sheriff's office,KY,NA,NA,2845959,2964226,2111000
gallatin county sheriff's office,KY,NA,NA,NA,NA,455000
hardin county sheriff's office,KY,NA,NA,NA,NA,NA
jefferson county sheriff's office,KY,21532889,21521640,26052444,26638637,NA
lewis county sheriff's office,KY,421400,NA,560800,628200,243000
mccracken county sheriff's office,KY,NA,NA,NA,NA,1408000
magoffin county sheriff's office,KY,NA,NA,NA,NA,NA
morgan county sheriff's office,KY,NA,NA,6e+05,550000,NA
rowan county sheriff's office,KY,NA,1200000,1256700,1386800,NA
spencer county sheriff's office,KY,NA,NA,720000,750000,909000
trimble county sheriff's office,KY,NA,NA,325350,400150,308000
webster county sheriff's office,KY,450000,NA,7e+05,720000,750000
allen parish sheriff's office,LA,NA,NA,NA,NA,218000
ascension parish sheriff's office,LA,NA,NA,40100000,41800000,25099000
avoyelles parish sheriff's office,LA,NA,NA,10596560,10912390,8830918
bossier parish sheriff's office,LA,38197000,NA,NA,NA,NA
caddo parish sheriff's office,LA,30420000,38781000,NA,NA,38932000
calcasieu parish sheriff's office,LA,70174000,85992000,97332233,100275080,39930000
caldwell parish sheriff's office,LA,NA,NA,3927224,NA,319000
catahoula parish sheriff's office,LA,NA,NA,6225000,6246000,8028709
east baton rouge parish sheriff's office,LA,NA,NA,86308495,90940000,NA
franklin parish sheriff's office,LA,1e+07,NA,NA,NA,NA
grant parish sheriff's office,LA,NA,NA,NA,NA,8003670
iberia parish sheriff's office,LA,20365596,NA,14882355,13777548,14141000
iberville parish sheriff's office,LA,NA,NA,16235146,17737533,NA
jefferson parish sheriff's office,LA,1.21e+08,126028500,NA,NA,138836000
jefferson davis parish sheriff's office,LA,NA,NA,5500000,5500000,8643079
lafayette parish sheriff's office,LA,5.4e+07,59896195,65794853,67856248,104217000
lafourche parish sheriff's office,LA,33663132,3.3e+07,34928605,34656794,40271471
livingston parish sheriff's office,LA,NA,27830000,31740000,35020000,8722000
morehouse parish sheriff's office,LA,NA,NA,8989524,9000019,9571303
natchitoches parish sheriff's office,LA,NA,NA,22088110,22370540,14806071
ouachita parish sheriff's office,LA,3.1e+07,NA,NA,NA,45871023
plaquemines parish sheriff's office,LA,19400000,NA,30721000,28557000,2672000
rapides parish sheriff's office,LA,NA,42860300,NA,NA,23079000
richland parish sheriff's office,LA,NA,10151538,11895240,12880331,14460223
st. bernard parish sheriff's office,LA,18405100,NA,24890000,24880000,27623481
st charles parish sheriff's office,LA,36190000,36520437,46433669,47798421,46957000
st james parish sheriff's office,LA,NA,NA,NA,NA,13207000
st john the baptist parish sheriff's office,LA,2.3e+07,2.7e+07,3.6e+07,3.6e+07,31789000
st landry parish sheriff's office,LA,1.3e+07,14043976,14299247,14657000,8837000
saint martin parish sheriff's office,LA,NA,NA,14367797,14773940,6204000
st mary parish sheriff's office,LA,15156100,12500000,NA,NA,7623000
st tammany parish sheriff's office,LA,NA,71432874,71207051,67529469,69937000
tangipahoa parish sheriff's office,LA,NA,NA,20203500,19938000,11581000
terrebonne parish sheriff's office,LA,NA,29414150,27051000,26307000,38674000
union parish sheriff's office,LA,1131553,NA,3991396,4127455,3609000
vermilion parish sheriff's office,LA,1.1e+07,NA,11022000,11065000,7262000
vernon parish sheriff's office,LA,11912300,NA,11601400,10975240,11203342
washington parish sheriff's office,LA,NA,NA,NA,NA,8719000
webster parish sheriff's office,LA,NA,NA,NA,NA,7107000
middlesex sheriff's office,MA,NA,NA,NA,NA,NA
plymouth county sheriff's office,MA,49718199,58896946,NA,NA,NA
baltimore city sheriff's office,MD,NA,NA,NA,NA,530286000
calvert county sheriff's office,MD,9360000,12348834,14738173,16162757,27980000
carroll county sheriff's office,MD,NA,NA,18100000,18300000,23276000
charles county sheriff's office,MD,75544255,79926900,94754000,96364700,103295000
frederick county sheriff's office,MD,25881678,47825000,49557532,51041784,46029000
harford county sheriff's office,MD,66516256,NA,86987548,92513016,87634000
kent county sheriff's office,MD,NA,NA,3985910,3961330,NA
st mary's county sheriff's office,MD,19494152,32500000,42574724,47410062,30971000
washington county sheriff's office,MD,22600000,NA,35208340,35158490,19088000
wicomico county sheriff's office,MD,7323445,NA,12994704,13072966,13264000
worcester county sheriff's office,MD,5324455,NA,7200000,7400000,9644000
aroostook county sheriff's office,ME,1002392,NA,6278699,6278699,3380000
oxford county sheriff's office,ME,NA,NA,2257632,2420584,NA
alcona county sheriff's office,MI,2e+06,NA,2169864,2300629,1470000
antrim county sheriff's office,MI,NA,NA,3500000,4234319,3460000
chippewa county sheriff's office,MI,NA,NA,NA,NA,1970000
clinton county sheriff's office,MI,NA,NA,NA,NA,3860000
crawford county sheriff's office,MI,NA,NA,3351325,3599354,2019000
eaton county sheriff's office,MI,13200000,NA,NA,NA,9646000
genesee county sheriff's office,MI,NA,NA,32569709,32438137,3371000
gladwin county sheriff's office,MI,NA,NA,3990473,4255280,1670000
hillsdale county sheriff's office,MI,NA,NA,3184398,3203192,2070000
iron county sheriff's office,MI,NA,NA,1547599,1638752,814000
isabella county sheriff's office,MI,NA,NA,5999679,6569530,3444000
kalamazoo county sheriff's office,MI,2.4e+07,2.6e+07,24170400,22710400,16943000
kent county sheriff's office,MI,NA,NA,65046293,67730797,41110000
macomb county sheriff's office,MI,62625350,66679891,86582543,92016965,39289000
oakland county sheriff's office,MI,140121177,1.41e+08,163323596,166768499,67648000
ottawa county sheriff's office,MI,2.6e+07,NA,34936781,36004399,22672000
van buren county sheriff's office,MI,NA,NA,NA,NA,5351000
washtenaw county sheriff's office,MI,49637267,49305293,30294711,30601098,46628000
wayne county sheriff's office,MI,NA,NA,NA,NA,5905000
anoka county sheriff's office,MN,NA,32588594,38578310,41334385,51909000
cottonwood county sheriff's office,MN,1900000,NA,1252066,1333080,NA
dodge county sheriff's office,MN,NA,NA,NA,NA,NA
hennepin county sheriff's office,MN,89994641,100802635,113676077,118659559,129701000
hubbard county sheriff's office,MN,NA,NA,NA,NA,NA
koochiching county sheriff's office,MN,2e+06,NA,NA,NA,NA
mille lacs county sheriff's office,MN,NA,NA,7e+06,8e+06,NA
norman county sheriff's office,MN,750000,922175,1e+06,1e+06,NA
pennington county sheriff's office,MN,NA,NA,3221218,3466342,NA
pope county sheriff's office,MN,NA,NA,2110118,2042285,NA
ramsey county sheriff's office,MN,46532955,54061218,NA,NA,77076000
saint louis county sheriff's office,MN,NA,NA,NA,NA,28901000
swift county sheriff's office,MN,NA,NA,2273076,2805700,2571000
todd county sheriff's office,MN,NA,NA,3253811,3404823,3290000
washington county sheriff's office,MN,NA,NA,3.6e+07,3.8e+07,28238000
watonwan county sheriff's office,MN,NA,2e+06,NA,NA,NA
winona county sheriff's office,MN,1752144,NA,7225024,7293998,4292000
wright county sheriff's office,MN,NA,NA,23466696,25911980,26540000
bollinger county sheriff's office,MO,NA,NA,NA,NA,NA
boone county sheriff's office,MO,NA,NA,NA,NA,13934000
camden county sheriff's office,MO,NA,5800000,NA,NA,9425000
chariton county sheriff's office,MO,NA,NA,7e+05,750000,665246
clay county sheriff's office,MO,13500000,12770045,NA,NA,12917000
crawford county sheriff's office,MO,NA,NA,NA,NA,NA
franklin county sheriff's office,MO,9800000,8500000,NA,NA,9750000
gentry county sheriff's office,MO,NA,NA,NA,NA,NA
greene county sheriff's office,MO,NA,20563298,27855118,31671741,7174000
henry county sheriff's office,MO,NA,NA,2693000,2671983,1636000
jackson county sheriff's office,MO,NA,NA,10312114,12150134,5057000
jasper county sheriff's office,MO,8585725,NA,NA,NA,NA
jefferson county sheriff's office,MO,NA,16554589,18543348,26729074,24725000
johnson county sheriff's office,MO,NA,NA,NA,NA,3114000
laclede county sheriff's office,MO,NA,NA,NA,NA,459200
lincoln county sheriff's office,MO,NA,NA,6321865,6864106,7918000
linn county sheriff's office,MO,NA,NA,484627,532377,NA
nodaway county sheriff's office,MO,NA,1206267,1960050,1878592,NA
osage county sheriff's office,MO,530000,NA,NA,NA,2223843
pemiscot county sheriff's office,MO,1200000,1400000,1177180,1300000,NA
pike county sheriff's office,MO,1656800,NA,1600000,1590000,NA
reynolds county sheriff's office,MO,NA,512566,6e+05,608480,NA
shannon county sheriff's office,MO,NA,NA,NA,NA,335546
stoddard county sheriff's office,MO,NA,NA,NA,NA,NA
taney county sheriff's office,MO,NA,NA,4579446,4520934,88882
