AGENCYNAME,city,STATE,budget_2013,budget_2016,budget_2019,budget_2020,budget_2021,source_budget_2021
sarasota police department,sarasota,FL,28098890,33528890,NA,NA,145924000,https://policescorecard.org/
saratoga county sheriff's office,ballston spa,NY,180381258,213995207,266837506,281232928,"246,061",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
sardis police department,sardis,AL,53333254,63660133,77859764,78811699,,
sardis police department,sardis,GA,NA,561825425,725885630,752340857,,
sarpy county sheriff's office,papillion,NE,129790470,104741002,142169188,150510230,16793000,https://policescorecard.org/
sartell police department,sartell,MN,212820410,260268100,312837170,324981130,,
satsuma police department,satsuma,AL,128234266,NA,NA,NA,,
saugus police department,saugus,MA,4508932,NA,6599393,5837476,,
sauk rapids police department,sauk rapids,MN,56163187,NA,82272408,88765678,3252000,https://policescorecard.org/
sauk village police department,sauk village,IL,6.1e+07,73912859,86634607,86761308,,
sausalito police department,sausalito,CA,NA,37754532,47117461,51266997,6229574,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
savannah police department,savannah,GA,86554672,NA,NA,NA,66042827,https://georgiadata.org/
savannah police department,savannah,MO,97184163,107583000,124985600,129270000,,
sawyer police department,sawyer,OK,21398078,25536555,32750834,35128511,,
sayre borough police department,sayre borough,PA,NA,NA,2219039,2280976,1165291,https://dced.pa.gov/local-government/municipal-statistics/
sayre police department,sayre,OK,70029385,83046401,95024819,113572083,,
scappoose police department,scappoose,OR,17377773,2.7e+07,61764000,63379000,1456000,https://policescorecard.org/
schaumburg police department,schaumburg,IL,NA,NA,NA,NA,"27,632,881",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
schenectady city police department,schenectady,NY,NA,NA,420434,449423,"21,455,998",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
schley county sheriff's department,ellaville,GA,7196400,NA,NA,NA,,
schuyler county sheriff's office,rushville,IL,12181000,NA,NA,NA,"1,110,829",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
schuyler county sheriff's office,watkins glen,NY,19200000,21153500,26178900,26889000,"1,747,390",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
scituate police department,scituate,MA,29673539,46700000,49939378,48954325,3688000,https://policescorecard.org/
scotland county sheriff's office,laurinburg,NC,NA,NA,NA,NA,12001478,https://www.scotlandcounty.org/ArchiveCenter/ViewFile/Item/457
scott city police department,scott,KS,NA,NA,NA,NA,671000,https://policescorecard.org/
scott county sheriff's department,scottsburg,IN,NA,NA,NA,NA,273435,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
scott police department,scott,LA,13500000,NA,NA,NA,3079000,https://policescorecard.org/
scott township police department,scott township,PA,NA,5.6e+07,NA,NA,3717459,https://dced.pa.gov/local-government/municipal-statistics/
scotts bluff county sheriff's office,gering,NE,NA,NA,3616564,4153935,3936000,https://policescorecard.org/
scotts hill police department,scotts hill,TN,NA,35927478,39839973,43626150,131000,https://policescorecard.org/
scottsboro police department,scottsboro,AL,NA,27102331,29457307,30924539,4299000,https://policescorecard.org/
scottsdale police department,scottsdale,AZ,16800000,19558882,23811019,25700828,155900000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
scranton city police department,scranton,PA,NA,33250000,33862486,3.5e+07,23944000,https://policescorecard.org/
scribner police department,scribner,NE,16624037,17437973,NA,NA,,
seal beach police department,seal beach,CA,NA,38348900,47590754,48058660,13260798,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
seaman police department,seaman,OH,NA,NA,380000,409000,,
seaside heights police,seaside heights,NJ,NA,NA,NA,NA,4450000,https://policescorecard.org/
seattle police department,seattle,WA,3e+06,NA,1384029,2075100,355900000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
sebastian county sheriff's office,fort smith,AR,29824123,29395264,39623486,45381548,,
sebewaing police department,sebewaing,MI,1600000,NA,NA,NA,334880,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
sebring police department,sebring,OH,NA,NA,2e+06,2e+06,,
sedgwick county sheriff's office,wichita,KS,2.4e+07,2.4e+07,30725927,30506839,33084000,https://policescorecard.org/
seekonk police department,seekonk,MA,NA,NA,1320000,1320000,,
seguin police department,seguin,TX,10726476,NA,NA,NA,8151000,https://policescorecard.org/
selma police department,selma,AL,340000,NA,999469,1207198,4912000,https://policescorecard.org/
selma police department,selma,NC,NA,NA,NA,NA,1738000,https://policescorecard.org/
seminole county sheriff's office,sanford,FL,NA,NA,NA,2915170,93480000,https://policescorecard.org/
seminole police department,seminole,OK,17440132,1.8e+07,20471242,21454105,1156000,https://policescorecard.org/
seneca police department,seneca,KS,NA,NA,NA,NA,,
seneca police department,seneca,MO,NA,4200000,4758800,4888205,485000,https://policescorecard.org/
seneca police department,seneca,SC,NA,24750117,26191170,29502700,3528000,https://policescorecard.org/
sequoyah county sheriff's office,sallisaw,OK,8850738,16832600,12668560,13269794,,
seven points police department,seven points,TX,13319620,21954590,22611663,25416744,,
sevier county sheriff's office,sevierville,TN,3e+06,8516183,5362457,5683222,9494000,https://policescorecard.org/
seymour police department,seymour,IN,NA,NA,NA,NA,5264000,https://policescorecard.org/
seymour police department,seymour,TX,57646650,59906550,63640800,64936430,"538,155",https://cityofseymour.org/wp-content/uploads/2021/09/2021-2022-City-of-Seymour-Financial-Statement.pdf
shackelford county sheriff's office,albany,TX,1.8e+07,NA,21148275,21585008,,
shade township police department,cairnbrook,PA,NA,NA,NA,NA,10287,https://dced.pa.gov/local-government/municipal-statistics/
shafter police department,shafter,CA,NA,NA,18290282,18796860,6982219,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
shakopee police department,shakopee,MN,NA,NA,8728282,8786279,9203000,https://policescorecard.org/
shallowater police department,shallowater,TX,950000,NA,3300000,3390236,433354,https://shallowatertx.us/wp-content/uploads/2022/01/Budget-Summary-2021-22-Adopted-Budget.pdf
shamokin dam borough police department,shamokin dam borough,PA,NA,NA,8200000,8800000,332450,https://dced.pa.gov/local-government/municipal-statistics/
shannon county sheriff's office,eminence,MO,NA,16900000,1.8e+07,18500000,335546,https://auditor.mo.gov/AuditReport/ViewReport?report=2024002
shaw police department,shaw,MS,NA,NA,NA,NA,306000,https://policescorecard.org/
shawangunk town police department,wallkill,NY,NA,NA,1771200,1797600,"888,240",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
shawnee county sheriff's office,topeka,KS,NA,NA,NA,NA,27481000,https://policescorecard.org/
shawnee police department,shawnee,OH,11417559,1.3e+07,NA,NA,,
shawneetown police department,shawneetown,IL,520000,NA,NA,NA,"129,098",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
shelby county sheriff's department,shelbyville,IN,NA,NA,1994541,2005625,2897083,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
shelby county sheriff's office,columbiana,AL,NA,NA,4e+06,4200000,15742000,https://policescorecard.org/
shelby county sheriff's office,memphis,TN,NA,NA,14249777,18842795,179572000,https://policescorecard.org/
shelby county sheriff's office,center,TX,NA,NA,3869659,4306231,,
shelbyville police department,shelbyville,TN,NA,NA,1250000,1497645,3108000,https://policescorecard.org/
shelton police department,shelton,CT,NA,NA,3304000,3304000,6022000,https://policescorecard.org/
shenandoah borough police department,shenandoah borough,PA,NA,NA,1300000,1500000,444141,https://dced.pa.gov/local-government/municipal-statistics/
shenandoah police department,shenandoah,TX,NA,NA,3795248,3998322,"3,466,627",https://www.shenandoahtx.us/DocumentCenter/View/4253/Adopted-Budget-2021-2022
shenango township police department,new castle,PA,18037000,21933415,25118797,26065297,1096976,https://dced.pa.gov/local-government/municipal-statistics/
shepherdstown police department,shepherdstown,WV,NA,NA,NA,NA,,
sherborn police department,sherborn,MA,49049320,52943048,65137876,66413370,,
shiocton police department,shiocton,WI,NA,2500000,2500000,2600000,,
shorter police department,shorter,AL,NA,NA,1358319,1576828,,
shortsville village police department,shortsville,NY,NA,NA,1153912,1136903,"28,594",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
shoshoni police department,shoshoni,WY,3095000,NA,NA,NA,,
shreveport police department,shreveport,LA,NA,NA,NA,NA,65103900,https://www.shreveportla.gov/DocumentCenter/View/18582/2021-Annual-Operating-Budget_updated1
shrewsbury police department,st. louis,MO,NA,NA,3498302,3651973,"2,602,349",https://cms5.revize.com/revize/shrewsburymo/government/finance/budgets/FiscalYear2021BudgetFinal.pdf
sibley police department,sibley,LA,1500000,NA,NA,NA,,
sierra county sheriff's office,truth or consequences,NM,57526582,63705194,NA,NA,,
sigourney police department,sigourney,IA,10801789,NA,4503378,4658047,,
silver city police department,silver,NM,NA,NA,NA,NA,3655000,https://policescorecard.org/
silver lake police department,silver lake,IN,NA,NA,NA,NA,48000,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
silver lake police department,silver lake,KS,1160000,NA,NA,NA,,
silvis police department,silvis,IL,NA,NA,4401985,4401985,"2,928,171",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
simi valley police department,simi valley,CA,NA,5461389,6113716,5851523,35419301,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
simsboro police department,simsboro,LA,NA,NA,1750000,1800000,,
sioux center police department,sioux center,IA,NA,NA,3250000,3500000,878000,https://policescorecard.org/
sioux city police department,sioux,IA,NA,NA,2367228,2443229,21095000,https://policescorecard.org/
sioux county sheriff's office,orange,IA,NA,NA,NA,NA,,
sioux county sheriff's office,fort yates,ND,NA,NA,430000,430000,,
sioux falls police department,sioux falls,SD,455602619,NA,598867299,573162818,38654000,https://policescorecard.org/
siren police department,siren,WI,39239689,NA,NA,NA,,
sisseton police department,sisseton,SD,NA,NA,3868165,3804186,597000,https://policescorecard.org/
sistersville police department,sistersville,WV,NA,NA,150000,160000,,
skiatook police department,skiatook,OK,6500000,NA,8089289,9418492,1886000,https://policescorecard.org/
skokie police department,skokie,IL,NA,NA,NA,NA,"24,864,210",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
slatington borough police department,slatington borough,PA,6e+07,NA,68879762,70723957,767654,https://dced.pa.gov/local-government/municipal-statistics/
slaton police department,slaton,TX,NA,NA,NA,NA,,
sleepy eye police department,sleepy eye,MN,1815000,NA,2364467,2382105,789000,https://policescorecard.org/
smith county sheriff's office,tyler,TX,NA,3.4e+07,36288536,36572075,12665000,https://policescorecard.org/
smith township police department,slovan,PA,NA,NA,3646860,3610630,40835,https://dced.pa.gov/local-government/municipal-statistics/
smithfield police department,smithfield,NC,NA,NA,NA,NA,3561000,https://policescorecard.org/
smithfield police department,smithfield,UT,NA,NA,1581386,1581386,1051000,https://policescorecard.org/
smyth county sheriff's office,marion,VA,NA,NA,NA,NA,3117000,https://policescorecard.org/
sneads police department,sneads,FL,NA,NA,12748538,13578100,,
snohomish county sheriff's office,everett,WA,463564,NA,629789,697989,68994000,https://policescorecard.org/
snowmass village police department,snowmass village,CO,NA,NA,1500000,2e+06,,
snyder police department,snyder,TX,NA,NA,NA,NA,,
socorro county sheriff's office,socorro,NM,NA,NA,NA,NA,1378813,https://www.socorronm.gov/wp-content/uploads/2023/02/LGBMS-FY-21.pdf
solano county sheriff's office,fairfield,CA,32970067,37992194,28526150,32670656,101696847,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
somers town police department,somers,NY,NA,NA,2.9e+07,3e+07,"908,175",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
somerset county sheriff's office,somerville borough,NJ,NA,NA,4192305,4470280,,
somerset police department,somerset,KY,NA,NA,6708484,7263623,3891000,https://policescorecard.org/
somerset police department,somerset,WI,12193208,29287683,43753060,48797953,,
somerville police department,somerville,MA,NA,NA,9379125,9648744,19783000,https://policescorecard.org/
somerville police department,somerville,TX,NA,NA,5e+06,5e+06,,
sonoma county sheriff's office,santa rosa,CA,8948209,15370401,12267666,13097990,95539978,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
south bend police department,south bend,IN,NA,NA,NA,NA,45739000,https://policescorecard.org/
south bend police department,south bend,WA,6570787,NA,5600000,5800000,,
south brunswick police,monmouth junction,NJ,NA,NA,2550389,2708855,11310000,https://policescorecard.org/
south charleston police department,south charleston,OH,NA,NA,2157357,2506102,,
south fulton police department,south fulton,TN,17932251,8058767,22824489,23195927,,
south heights borough police department,south heights borough,PA,NA,NA,NA,NA,68806,https://dced.pa.gov/local-government/municipal-statistics/
south holland police department,south holland,IL,NA,NA,591837,627620,7105000,https://policescorecard.org/
south kingstown police,wakefield,RI,1300000,NA,NA,NA,10765000,https://policescorecard.org/
south milwaukee police department,south milwaukee,WI,NA,NA,2438598,2544851,,
south ogden city police department,south ogden,UT,NA,NA,1e+06,1e+06,3393000,https://policescorecard.org/
south orange police,south orange,NJ,NA,NA,370000,390000,4867000,https://policescorecard.org/
south palm beach public safety department,south palm beach,FL,NA,NA,1700000,1700000,,
south park township police department,south park,PA,7.4e+07,83204121,86645355,90747140,2467561,https://dced.pa.gov/local-government/municipal-statistics/
south rockwood police department,south rockwood,MI,NA,NA,1508873,1502874,351110,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
south roxana police department,south roxana,IL,NA,NA,2559379,2690253,"353,169",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
south shore police department,south shore,KY,NA,540000,850000,850000,,
southampton police department,southampton,MA,NA,1400000,NA,NA,904000,https://policescorecard.org/
southampton town police department,hampton bays,NY,NA,NA,1617045,2061188,"20,873,842",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
southaven police department,southaven,MS,NA,NA,NA,NA,,
southbridge police department,southbridge,MA,NA,652000,896733,1249793,,
southfield police department,southfield,MI,50257137,54060791,57528679,58954010,28127000,https://policescorecard.org/
southwest harbor police department,southwest harbor,ME,14600000,15511247,18871162,19317654,,
spalding county sheriff's department,griffin,GA,NA,NA,350000,350000,8967000,https://georgiadata.org/
spalding police department,spalding,NE,NA,NA,2e+06,2034000,,
sparkman police department,sparkman,AR,NA,NA,1250000,1300000,,
sparks police department,sparks,NV,16440745,17340364,19509427,21520888,33126000,https://policescorecard.org/
sparta police department,sparta,IL,3056058,NA,NA,NA,"1,712,464",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
sparta police department,sparta,MI,NA,NA,201467,201467,788160,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
spartanburg county sheriff's office,spartanburg,SC,220000,250000,341000,341000,41475000,https://policescorecard.org/
spartanburg police department,spartanburg,SC,NA,NA,NA,NA,11960000,https://policescorecard.org/
spaulding police department,spaulding,IL,NA,NA,2845959,2964226,"106,967",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
spencer county sheriff's office,taylorsville,KY,NA,NA,NA,NA,909000,https://policescorecard.org/
spencer police department,spencer,OK,NA,NA,NA,NA,,
spink county sheriff's office,redfield,SD,21532889,21521640,26052444,26638637,,
spirit lake police department,spirit lake,IA,421400,NA,560800,628200,1249000,https://policescorecard.org/
spokane county sheriff's office,spokane,WA,NA,NA,NA,NA,69100000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
spokane police department,spokane,WA,NA,NA,NA,NA,68919000,https://policescorecard.org/
sportsmen acres police department,pryor,OK,NA,NA,6e+05,550000,,
spotsylvania county sheriff's office,spotsylvania courthouse,VA,NA,1200000,1256700,1386800,22742000,https://policescorecard.org/
spring city borough police department,spring borough,PA,NA,NA,720000,750000,359478,https://dced.pa.gov/local-government/municipal-statistics/
springdale police department,springdale,AR,NA,NA,325350,400150,20016320,https://www.springdalear.gov/documents/government/financial-transparency/city-budget/405138
springdale police department,springdale,SC,450000,NA,7e+05,720000,,
springfield police department,springfield,IL,NA,NA,NA,NA,"47,906,322",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
springfield police department,springfield,MA,NA,NA,40100000,41800000,50744000,https://policescorecard.org/
springfield police department,springfield,MO,NA,NA,10596560,10912390,70145000,https://policescorecard.org/
springfield police department,springfield,OH,38197000,NA,NA,NA,,
springfield township police department,quakertown,PA,30420000,38781000,NA,NA,6448000,https://policescorecard.org/
springfield township police department - mahoning,new springfield,OH,70174000,85992000,97332233,100275080,,
springtown police department,springtown,TX,NA,NA,3927224,NA,,
spur police department,spur,TX,NA,NA,6225000,6246000,143240,https://www.co.dickens.tx.us/upload/page/10567/City%20of%20Spur_2021-2022%20Proposed%20Budget.pdf
st charles parish sheriff's office,hahnville,LA,NA,NA,86308495,90940000,46957000,https://policescorecard.org/
st clairsville police department,st. clairsville,OH,1e+07,NA,NA,NA,,
st james parish sheriff's office,convent,LA,NA,NA,NA,NA,13207000,https://policescorecard.org/
st john the baptist parish sheriff's office,laplace,LA,20365596,NA,14882355,13777548,31789000,https://policescorecard.org/
st landry parish sheriff's office,opelousas,LA,NA,NA,16235146,17737533,8837000,https://policescorecard.org/
st mary parish sheriff's office,franklin,LA,1.21e+08,126028500,NA,NA,7623000,https://policescorecard.org/
st mary's county sheriff's office,leonardtown,MD,NA,NA,5500000,5500000,30971000,https://policescorecard.org/
st michaels police,st michaels,MD,5.4e+07,59896195,65794853,67856248,,
st tammany parish sheriff's office,covington,LA,33663132,3.3e+07,34928605,34656794,69937000,https://policescorecard.org/
st. bernard parish sheriff's office,chalmette,LA,NA,27830000,31740000,35020000,27623481,https://lla.la.gov/publicreports.nsf/0/1bd20ecb9a5c8a9c8625893c006c34ba/$file/00000850.pdf
st. george police department,st. george,UT,NA,NA,8989524,9000019,15134000,https://policescorecard.org/
stafford county sheriff's office,stafford courthouse,VA,NA,NA,22088110,22370540,32889000,https://policescorecard.org/
stallings police department,stallings,NC,3.1e+07,NA,NA,NA,2595500,https://www.stallingsnc.org/Portals/0/Stallings/Departments/Finance/Documents/FY2021/FY2021%20BUDGET%20ORDINANCE_2.pdf?ver=sn-SbvncHsjBnt99FlWm3w%3d%3d
stamford police department,stamford,CT,19400000,NA,30721000,28557000,41246000,https://policescorecard.org/
stanfield police department,stanfield,NC,NA,42860300,NA,NA,0,
stanhope police,stanhope,NJ,NA,10151538,11895240,12880331,,
stanislaus county sheriff's office,modesto,CA,18405100,NA,24890000,24880000,68485440,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
stanly county sheriff's office,albemarle,NC,36190000,36520437,46433669,47798421,"24,073,098",https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
stanton county sheriff's department,johnson,KS,NA,NA,NA,NA,,
stanton county sheriff's office,stanton,NE,2.3e+07,2.7e+07,3.6e+07,3.6e+07,,
starbuck police department,starbuck,MN,1.3e+07,14043976,14299247,14657000,,
stark county sheriff's office,canton,OH,NA,NA,14367797,14773940,19161000,https://policescorecard.org/
starkville police department,starkville,MS,15156100,12500000,NA,NA,5150000,https://policescorecard.org/
starr county sheriff's office,rio grande,TX,NA,71432874,71207051,67529469,2851236,https://www.co.starr.tx.us/upload/page/6467/docs/Budget2022-2023.pdf
staunton police department,staunton,IL,NA,NA,20203500,19938000,"1,266,637",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
staunton police department,staunton,VA,NA,29414150,27051000,26307000,6022000,https://policescorecard.org/
ste genevieve police department,st.e genevieve,MO,1131553,NA,3991396,4127455,,
steilacoom department of public safety,steilacoom,WA,1.1e+07,NA,11022000,11065000,,
stephens county sheriff's office,breckenridge,TX,11912300,NA,11601400,10975240,1388025,https://www.co.stephens.tx.us/upload/page/2602/Proposed%20Budgets/2021%20Budget%20Prop%202.pdf
sterling heights police department,sterling heights,MI,NA,NA,NA,NA,34384000,https://policescorecard.org/
steuben county sheriff's department,angola,IN,NA,NA,NA,NA,1613000,https://policescorecard.org/
steuben county sheriff's office,bath,NY,NA,NA,NA,NA,"5,270,382",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
steubenville police department,steubenville,OH,49718199,58896946,NA,NA,,
stewart county sheriff's office,dover,TN,NA,NA,NA,NA,,
stilwell police department,stilwell,OK,9360000,12348834,14738173,16162757,,
stockton police department,stockton,CA,NA,NA,18100000,18300000,152900000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
stockton police department,stockton,UT,75544255,79926900,94754000,96364700,,
stoddard county sheriff's office,bloomfield,MO,25881678,47825000,49557532,51041784,,
stoneboro borough police department,stoneboro borough,PA,66516256,NA,86987548,92513016,45225,https://dced.pa.gov/local-government/municipal-statistics/
stover police department,stover,MO,NA,NA,3985910,3961330,,
strasburg police department,strasburg,OH,19494152,32500000,42574724,47410062,,
stratford borough police,stratford borough,NJ,22600000,NA,35208340,35158490,,
stratford police department,stratford downtown,CT,7323445,NA,12994704,13072966,13331000,https://policescorecard.org/
stratford police department,stratford downtown,TX,5324455,NA,7200000,7400000,,
streetsboro police department,streetsboro,OH,1002392,NA,6278699,6278699,,
stringtown police department,stringtown,OK,NA,NA,2257632,2420584,,
stuart police department,stuart,IA,2e+06,NA,2169864,2300629,,
sturgis police department,sturgis,MI,NA,NA,3500000,4234319,2940000,https://policescorecard.org/
suffolk county police department,yaphank,NY,NA,NA,NA,NA,"595,880,877",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
suffolk county sheriff's office,riverhead,NY,NA,NA,NA,NA,137600000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
suffolk police department,suffolk,VA,NA,NA,3351325,3599354,26940000,https://policescorecard.org/
sugar land police department,sugar land,TX,13200000,NA,NA,NA,27074000,https://policescorecard.org/
sulligent police department,sulligent,AL,NA,NA,32569709,32438137,,
sullivan county sheriff's department,sullivan,IN,NA,NA,3990473,4255280,40000,https://policescorecard.org/
sullivan county sheriff's office,blountville,TN,NA,NA,3184398,3203192,12501000,https://policescorecard.org/
sullivan police department,sullivan,IL,NA,NA,1547599,1638752,"680,539",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
sulphur springs police department,sulphur springs,TX,NA,NA,5999679,6569530,3986000,https://policescorecard.org/
sumas police department,sumas,WA,2.4e+07,2.6e+07,24170400,22710400,927000,https://policescorecard.org/
summerdale police department,summersdale,AL,NA,NA,65046293,67730797,,
summerhill township police department,beaverdale,PA,62625350,66679891,86582543,92016965,5450,https://dced.pa.gov/local-government/municipal-statistics/
summersville police department,summersville,WV,140121177,1.41e+08,163323596,166768499,,
summerville police department,summerville,SC,2.6e+07,NA,34936781,36004399,5410000,https://policescorecard.org/
summit county sheriff's office,akron,OH,NA,NA,NA,NA,36494000,https://policescorecard.org/
summit police department,summit,IL,49637267,49305293,30294711,30601098,6161000,https://policescorecard.org/
summitville police department,summitville,IN,NA,NA,NA,NA,,
sumner county sheriff's office,gallatin,TN,NA,32588594,38578310,41334385,15971000,https://policescorecard.org/
sumner police department,sumner,IA,1900000,NA,1252066,1333080,,
sumter county sheriff's office,bushnell,FL,NA,NA,NA,NA,24744000,https://policescorecard.org/
sumter county sheriff's office,sumter,SC,89994641,100802635,113676077,118659559,22994000,https://policescorecard.org/
sumter police department,sumter,SC,NA,NA,NA,NA,13093000,https://policescorecard.org/
sunflower county sheriff's department,indianola,MS,2e+06,NA,NA,NA,2029000,https://policescorecard.org/
sunnyvale department of public safety,sunnyvale,CA,NA,NA,7e+06,8e+06,47651880,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
sunrise police department,sunrise,FL,750000,922175,1e+06,1e+06,48158000,https://policescorecard.org/
superior police department,superior,NE,NA,NA,3221218,3466342,,
surprise police department,surprise,AZ,NA,NA,2110118,2042285,32404000,https://policescorecard.org/
surry county sheriff's office,surry,VA,46532955,54061218,NA,NA,,
sussex county sheriff's office,newton,NJ,NA,NA,NA,NA,,
swain county sheriff's office,bryson,NC,NA,NA,2273076,2805700,0,https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
sweetwater police department,sweetwater,FL,NA,NA,3253811,3404823,7599000,https://policescorecard.org/
swift county sheriff's office,benson,MN,NA,NA,3.6e+07,3.8e+07,2571000,https://policescorecard.org/
sycamore police department,sycamore,GA,NA,2e+06,NA,NA,,
sykesville borough police department,sykesville borough,PA,1752144,NA,7225024,7293998,69329,https://dced.pa.gov/local-government/municipal-statistics/
sylacauga police department,sylacauga,AL,NA,NA,23466696,25911980,3583000,https://policescorecard.org/
sylvania police department,sylvania,AL,NA,NA,NA,NA,,
sylvania township police department,sylvania,OH,NA,NA,NA,NA,,
syracuse city police department,syracuse,NY,NA,5800000,NA,NA,"52,380,953",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
syracuse police department,syracuse,OH,NA,NA,7e+05,750000,,
tacoma police department,tacoma,WA,13500000,12770045,NA,NA,95323000,https://policescorecard.org/
talladega police department,talladega,AL,NA,NA,NA,NA,3896000,https://policescorecard.org/
tallahassee police department,tallahassee,FL,9800000,8500000,NA,NA,64452000,https://policescorecard.org/
tallapoosa county sheriff's office,dadeville,AL,NA,NA,NA,NA,"1,011,550",https://ted.cviog.uga.edu/financial-documents/sites/default/files//budgetdoc/budget-report/city-tallapoosa-fy2021-budget-report.pdf
tallassee police department,tallassee,AL,NA,20563298,27855118,31671741,,
tallmadge police department,tallmadge,OH,NA,NA,2693000,2671983,,
tamaqua borough police department,tamaqua borough,PA,NA,NA,10312114,12150134,1521000,https://policescorecard.org/
tampa police department,tampa,FL,8585725,NA,NA,NA,164195000,https://policescorecard.org/
taney county sheriff's office,forsyth,MO,NA,16554589,18543348,26729074,88882,https://media.taneycounty.org/pdf.php?4065
taneytown police,taneytown,MD,NA,NA,NA,NA,,
tangipahoa parish sheriff's office,hammond,LA,NA,NA,NA,NA,11581000,https://policescorecard.org/
taos county sheriff's office,taos,NM,NA,NA,6321865,6864106,2813000,https://policescorecard.org/
tarentum borough police department,tarentum borough,PA,NA,NA,484627,532377,1320302,https://dced.pa.gov/local-government/municipal-statistics/
tarrant county sheriff's office,fort worth,TX,NA,1206267,1960050,1878592,84007000,https://policescorecard.org/
tarrytown village police department,tarrytown,NY,530000,NA,NA,NA,"5,595,700",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
tatamy borough police department,tatamy borough,PA,1200000,1400000,1177180,1300000,321166,https://dced.pa.gov/local-government/municipal-statistics/
tate county sheriff's department,senatobia,MS,1656800,NA,1600000,1590000,3229000,https://policescorecard.org/
