AGENCYNAME,city,STATE,budget_2013,budget_2016,budget_2019,budget_2020,budget_2021,source_budget_2021
mathis police department,mathis,TX,NA,NA,NA,NA,1025587,https://cityofmathis.com/DocumentCenter/View/909/FY2023-2024-Budget
mathiston police department,mathiston,MS,NA,3482577,3439136,3585651,,
mattawa police department,mattawa,WA,NA,NA,12599809,14785062,,
matthews police department,matthews,NC,NA,271408,296339,309891,6298402,https://www.matthewsnc.gov/files/documents/FY21BudgetWorkbook1543115756051220AM.pdf
maui police department,wailuku,HI,15013345,16643888,18212498,19855092,61615000,https://policescorecard.org/
maumelle police department,maumelle,AR,NA,NA,NA,NA,"4,187,615",https://www.maumelle.org/Archive.aspx?AMID=37
mauston police department,mauston,WI,NA,NA,NA,NA,,
maxton police department,maxton,NC,NA,NA,423750,423750,860000,https://policescorecard.org/
maypearl police department,maypearl,TX,NA,3400000,3804292,3804292,39472,https://www.cityofmaypearl.org/media/1441
maysville police department,maysville,GA,NA,NA,NA,NA,,
mcallen police department,mcallen,TX,47734700,5.5e+07,56670000,49380000,39985000,https://policescorecard.org/
mccomb police department,mccomb,MS,NA,NA,4309000,4691000,,
mccook county sheriff's office,salem,SD,NA,NA,2150000,2225000,754000,https://policescorecard.org/
mccordsville police department,mccordsville,IN,918731,NA,1017000,1017000,187671,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
mccormick police department,mc cormick,SC,NA,NA,96000,96000,,
mccracken county sheriff's office,paducah,KY,NA,NA,NA,NA,1408000,https://policescorecard.org/
mccullom lake police department,mchenry,IL,NA,NA,180000,180000,,
mcdonough county sheriff's office,macomb,IL,NA,NA,NA,NA,2745000,https://policescorecard.org/
mcdowell county sheriff's office,marion,NC,NA,NA,3200000,3400000,"22,713,756",https://logos.nctreasurer.com/Reporting/Report/External?applicationCode=AFIR
mcdowell county sheriff's office/law enforcement,welch,WV,NA,1455725,1300000,1300000,2324000,https://policescorecard.org/
mchenry county sheriff's office,woodstock,IL,NA,NA,2e+06,2e+06,25795000,https://policescorecard.org/
mchenry county sheriff's office,towner,ND,250000,NA,250000,250000,,
mchenry police department,mchenry,IL,NA,165000,189000,192000,36920000,https://policescorecard.org/
mcintosh county sheriff's department,darien,GA,NA,NA,60000,60000,3521000,https://georgiadata.org/
mckees rocks borough police department,mc kees rocks,PA,128712737,132796650,154133700,155527630,1696683,https://dced.pa.gov/local-government/municipal-statistics/
mckeesport city police department,mckeesport,PA,1.72e+08,190636623,206566803,210837155,5152712,https://dced.pa.gov/local-government/municipal-statistics/
mckinney police department,mckinney,TX,2.72e+08,313134080,346300151,347603834,37215000,https://policescorecard.org/
mcleansboro police department,mc leansboro,IL,NA,NA,1e+06,1e+06,,
mclennan county sheriff's office,waco,TX,NA,NA,3e+05,410000,12039000,https://policescorecard.org/
mcmechen police department,mcmechen,WV,1200000,NA,2300000,2800000,,
mcpherson police department,mcpherson,KS,NA,NA,782500,736000,2864000,https://policescorecard.org/
meagher county sheriff's office,white sulphur springs,MT,NA,NA,NA,NA,,
mebane police department,mebane,NC,NA,NA,NA,NA,13320689,https://www.mcdowellgov.com/county/facts-and-figures/audit/McDowell%20County%202022%20Audit.pdf
medford police department,medford,OK,NA,NA,NA,NA,,
medford police department,medford,MA,NA,NA,163833,102970,13573000,https://policescorecard.org/
medford police department,medford,OR,25900376,28235821,31064148,31182812,25863000,https://policescorecard.org/
medicine lodge police department,medicine lodge,KS,19816948,19288177,NA,NA,,
