location,is_city,zip,County,STATE,City
jacksonville_IL,1,62650,NA,IL,jacksonville
pinckneyville_IL,1,62274,NA,IL,pinckneyville
rushville_IL,1,62681,NA,IL,rushville
danville_IL,1,61832,NA,IL,danville
mount carmel_IL,1,62863,NA,IL,mount carmel
monmouth_IL,1,61462,NA,IL,monmouth
morrison_IL,1,61270,NA,IL,morrison
joliet_IL,1,60432,NA,IL,joliet
rockford_IL,1,61102,NA,IL,rockford
fort wayne_IN,1,46802,NA,IN,fort wayne
logansport_IN,1,46947,NA,IN,logansport
corydon_IN,1,47112,NA,IN,corydon
crown point_IN,1,46307,NA,IN,crown point
la porte_IN,1,46350,NA,IN,la porte
crawfordsville_IN,1,47933,NA,IN,crawfordsville
south bend_IN,1,46601,NA,IN,south bend
scottsburg_IN,1,47170,NA,IN,scottsburg
shelbyville_IN,1,46176,NA,IN,shelbyville
angola_IN,1,46703,NA,IN,angola
sullivan_IN,1,47882,NA,IN,sullivan
evansville_IN,1,47711,NA,IN,evansville
columbia_IN,1,46725,NA,IN,columbia
medicine lodge_KS,1,67104,NA,KS,medicine lodge
hiawatha_KS,1,66434,NA,KS,hiawatha
columbus_KS,1,66725,NA,KS,columbus
cimarron_KS,1,67835,NA,KS,cimarron
tribune_KS,1,67879,NA,KS,tribune
eureka_KS,1,67045,NA,KS,eureka
olathe_KS,1,66061,NA,KS,olathe
lakin_KS,1,67860,NA,KS,lakin
oswego_KS,1,67356,NA,KS,oswego
marion_KS,1,66861,NA,KS,marion
beloit_KS,1,67420,NA,KS,beloit
erie_KS,1,66733,NA,KS,erie
phillipsburg_KS,1,67661,NA,KS,phillipsburg
stockton_KS,1,67669,NA,KS,stockton
wichita_KS,1,67203,NA,KS,wichita
topeka_KS,1,66603,NA,KS,topeka
johnson_KS,1,68779,NA,KS,johnson
colby_KS,1,67701,NA,KS,colby
alma_KS,1,66401,NA,KS,alma
burlington_KY,1,41005,NA,KY,burlington
hopkinsville_KY,1,42240,NA,KY,hopkinsville
marion_KY,1,42064,NA,KY,marion
burkesville_KY,1,42717,NA,KY,burkesville
flemingsburg_KY,1,41041,NA,KY,flemingsburg
frankfort_KY,1,40602,NA,KY,frankfort
warsaw_KY,1,41095,NA,KY,warsaw
elizabethtown_KY,1,42702,NA,KY,elizabethtown
